Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Jurassic Park,"$912,667,947","$357,067,947",39.1%,"$555,600,000",60.9%
2,Mrs. Doubtfire,"$441,286,195","$219,195,243",49.7%,"$222,090,952",50.3%
3,The Fugitive,"$368,875,760","$183,875,760",49.8%,"$185,000,000",50.2%
4,Schindler's List,"$321,306,305","$96,065,768",29.9%,"$225,240,537",70.1%
5,The Firm,"$270,248,367","$158,348,367",58.6%,"$111,900,000",41.4%
6,Indecent Proposal,"$266,614,059","$106,614,059",40%,"$160,000,000",60%
7,Cliffhanger,"$255,000,211","$84,049,211",33%,"$170,951,000",67%
8,Sleepless in Seattle,"$227,799,884","$126,680,884",55.6%,"$101,119,000",44.4%
9,Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%
10,The Pelican Brief,"$195,268,056","$100,768,056",51.6%,"$94,500,000",48.4%
11,In the Line of Fire,"$176,997,168","$102,314,823",57.8%,"$74,682,345",42.2%
12,Cool Runnings,"$154,856,263","$68,856,263",44.5%,"$86,000,000",55.5%
13,Free Willy,"$153,698,625","$77,698,625",50.6%,"$76,000,000",49.4%
14,Sommersby,"$140,081,992","$50,081,992",35.8%,"$90,000,000",64.2%
15,Last Action Hero,"$137,298,489","$50,016,394",36.4%,"$87,282,095",63.6%
16,A Perfect World,"$135,130,999","$31,130,999",23%,"$104,000,000",77%
17,Hot Shots! Part Deux,"$133,752,825","$38,922,972",29.1%,"$94,829,853",70.9%
18,Beethoven's 2nd,"$118,243,066","$53,443,066",45.2%,"$64,800,000",54.8%
19,Dennis the Menace,"$117,270,765","$51,270,765",43.7%,"$66,000,000",56.3%
20,Sliver,"$116,300,000","$36,300,000",31.2%,"$80,000,000",68.8%
21,Rising Sun,"$107,198,790","$63,179,523",58.9%,"$44,019,267",41.1%
22,Made in America,"$104,942,695","$44,942,695",42.8%,"$60,000,000",57.2%
23,Hard Target,"$74,189,677","$32,589,677",43.9%,"$41,600,000",56.1%
24,Groundhog Day,"$70,906,973","$70,906,973",100%,-,-
25,Grumpy Old Men,"$70,172,621","$70,172,621",100%,-,-
26,In the Name of the Father,"$65,796,862","$25,096,862",38.1%,"$40,700,000",61.9%
27,Carlito's Way,"$63,848,322","$36,948,322",57.9%,"$26,900,000",42.1%
28,Dragon: The Bruce Lee Story,"$63,513,743","$35,113,743",55.3%,"$28,400,000",44.7%
29,Dave,"$63,270,710","$63,270,710",100%,-,-
30,The Good Son,"$60,613,008","$44,789,789",73.9%,"$15,823,219",26.1%
31,Demolition Man,"$58,055,768","$58,055,768",100%,-,-
32,The Beverly Hillbillies,"$57,405,220","$44,029,386",76.7%,"$13,375,834",23.3%
33,Sister Act 2: Back in the Habit,"$57,319,029","$57,319,029",100%,-,-
34,Tombstone,"$56,505,065","$56,505,065",100%,-,-
35,Rookie of the Year,"$56,500,758","$53,615,089",94.9%,"$2,885,669",5.1%
36,The Three Musketeers,"$53,898,845","$53,898,845",100%,-,-
37,The Nightmare Before Christmas,"$50,003,043","$50,003,043",100%,-,-
38,Addams Family Values,"$48,919,043","$48,919,043",100%,-,-
39,Wayne's World 2,"$48,198,564","$48,197,805",100%,$759,<0.1%
40,Malice,"$46,405,336","$46,405,336",100%,-,-
41,Teenage Mutant Ninja Turtles III,"$42,273,609","$42,273,609",100%,-,-
42,Homeward Bound: The Incredible Journey,"$41,833,324","$41,833,324",100%,-,-
43,Snow White and the Seven Dwarfs 1993 Re-release,"$41,634,471","$41,634,471",100%,-,-
44,Falling Down,"$40,903,593","$40,903,593",100%,-,-
45,Cop & ½,"$40,689,691","$31,889,691",78.4%,"$8,800,000",21.6%
46,The Piano,"$40,157,856","$40,157,856",100%,-,-
47,Hocus Pocus,"$39,514,713","$39,514,713",100%,-,-
48,What's Love Got to Do with It,"$39,100,956","$39,100,956",100%,-,-
49,Alive,"$36,733,909","$36,733,909",100%,-,-
50,Son in Law,"$36,448,400","$36,448,400",100%,-,-
51,Robin Hood: Men in Tights,"$35,739,755","$35,739,755",100%,-,-
52,The Sandlot,"$33,832,313","$32,434,006",95.9%,"$1,398,307",4.1%
53,The Joy Luck Club,"$32,901,136","$32,901,136",100%,-,-
54,The Age of Innocence,"$32,255,440","$32,255,440",100%,-,-
55,The Secret Garden,"$31,181,347","$31,181,347",100%,-,-
56,Point of No Return,"$30,038,362","$30,038,362",100%,-,-
57,Loaded Weapon 1,"$27,979,399","$27,979,399",100%,-,-
58,Menace II Society,"$27,912,072","$27,912,072",100%,-,-
59,My Life,"$27,804,899","$27,804,899",100%,-,-
60,Poetic Justice,"$27,515,786","$27,515,786",100%,-,-
61,Shadowlands,"$25,842,377","$25,842,377",100%,-,-
62,The Man Without a Face,"$24,760,338","$24,760,338",100%,-,-
63,Striking Distance,"$24,107,867","$24,107,867",100%,-,-
64,The Adventures of Huck Finn,"$24,103,594","$24,103,594",100%,-,-
65,Benny & Joon,"$23,261,580","$23,261,580",100%,-,-
66,The Remains of the Day,"$23,237,911","$23,237,911",100%,-,-
