Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Fatal Attraction,"$320,145,693","$156,645,693",48.9%,"$163,500,000",51.1%
2,Beverly Hills Cop II,"$299,965,036","$153,665,036",51.2%,"$146,300,000",48.8%
3,Dirty Dancing,"$213,446,382","$63,446,382",29.7%,"$150,000,000",70.3%
4,Three Men and a Baby,"$167,780,960","$167,780,960",100%,-,-
5,"Good Morning, Vietnam","$123,922,370","$123,922,370",100%,-,-
6,Lethal Weapon,"$120,207,127","$65,207,127",54.2%,"$55,000,000",45.8%
7,The Secret of My Success,"$110,996,879","$66,995,879",60.4%,"$44,001,000",39.6%
8,Predator,"$98,268,458","$59,735,548",60.8%,"$38,532,910",39.2%
9,Moonstruck,"$80,640,528","$80,640,528",100%,-,-
10,The Untouchables,"$76,270,454","$76,270,454",100%,-,-
11,Broadcast News,"$67,331,309","$51,249,404",76.1%,"$16,081,905",23.9%
12,Dragnet,"$66,673,516","$57,387,516",86.1%,"$9,286,000",13.9%
13,Stakeout,"$65,673,233","$65,673,233",100%,-,-
14,*batteries not included,"$65,088,797","$32,945,797",50.6%,"$32,143,000",49.4%
15,The Witches of Eastwick,"$63,766,510","$63,766,510",100%,-,-
16,Throw Momma from the Train,"$57,915,972","$57,915,972",100%,-,-
17,La Bamba,"$54,215,416","$54,215,416",100%,-,-
18,RoboCop,"$53,424,681","$53,424,681",100%,-,-
19,Outrageous Fortune,"$52,864,741","$52,864,741",100%,-,-
20,Jaws: The Revenge,"$51,881,013","$20,763,013",40%,"$31,118,000",60%
21,The Living Daylights,"$51,185,897","$51,185,897",100%,-,-
22,Eddie Murphy: Raw,"$50,504,655","$50,504,655",100%,-,-
23,Harry and the Hendersons,"$49,998,613","$29,760,613",59.5%,"$20,238,000",40.5%
24,"Planes, Trains & Automobiles","$49,530,280","$49,530,280",100%,-,-
25,Snow White and the Seven Dwarfs 1987 Re-release,"$46,594,212","$46,594,212",100%,-,-
26,Full Metal Jacket,"$46,357,676","$46,357,676",100%,-,-
27,A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222","$44,793,222",100%,-,-
28,The Last Emperor,"$43,984,230","$43,984,230",100%,-,-
29,Wall Street,"$43,848,069","$43,848,069",100%,-,-
30,Mannequin,"$42,721,196","$42,721,196",100%,-,-
31,Roxanne,"$40,050,884","$40,050,884",100%,-,-
32,Blind Date,"$39,321,715","$39,321,715",100%,-,-
33,The Running Man,"$38,122,105","$38,122,105",100%,-,-
34,Spaceballs,"$38,119,483","$38,119,483",100%,-,-
35,Summer School,"$35,659,098","$35,659,098",100%,-,-
36,No Way Out,"$35,509,515","$35,509,515",100%,-,-
37,Like Father Like Son,"$34,377,585","$34,377,585",100%,-,-
38,Adventures in Babysitting,"$34,368,475","$34,368,475",100%,-,-
39,Cinderella 1987 Re-release,"$34,101,149","$34,101,149",100%,-,-
40,The Lost Boys,"$32,222,567","$32,222,567",100%,-,-
41,Can't Buy Me Love,"$31,623,833","$31,623,833",100%,-,-
42,Nuts,"$30,950,002","$30,950,002",100%,-,-
43,The Princess Bride,"$30,861,665","$30,857,814",100%,"$3,851",<0.1%
44,Revenge of the Nerds II: Nerds in Paradise,"$30,063,289","$30,063,289",100%,-,-
45,Raising Arizona,"$29,180,280","$22,847,564",78.3%,"$6,332,716",21.7%
46,Police Academy 4: Citizens on Patrol,"$28,061,343","$28,061,343",100%,-,-
47,Overboard,"$26,713,187","$26,713,187",100%,-,-
48,Baby Boom,"$26,712,476","$26,712,476",100%,-,-
49,Innerspace,"$25,893,810","$25,893,810",100%,-,-
50,Tin Men,"$25,411,386","$25,411,386",100%,-,-
51,Black Widow,"$25,205,460","$25,205,460",100%,-,-
52,Ernest Goes to Camp,"$23,509,382","$23,509,382",100%,-,-
53,Benji the Hunted,"$22,257,624","$22,257,624",100%,-,-
54,Empire of the Sun,"$22,238,696","$22,238,696",100%,-,-
55,Project X,"$21,589,395","$18,532,286",85.8%,"$3,057,109",14.2%
56,Hello Again,"$20,419,446","$20,419,446",100%,-,-
57,Critical Condition,"$20,240,502","$20,240,502",100%,-,-
58,The Principal,"$19,734,940","$19,734,940",100%,-,-
59,Suspect,"$18,782,400","$18,782,400",100%,-,-
60,The Believers,"$18,753,438","$18,753,438",100%,-,-
61,Some Kind of Wonderful,"$18,553,948","$18,553,948",100%,-,-
62,The Big Easy,"$17,685,307","$17,685,307",100%,-,-
63,The Aristocats 1987 Re-release,"$17,452,658","$17,452,658",100%,-,-
64,Born in East L.A.,"$17,355,263","$17,355,263",100%,-,-
65,Masters of the Universe,"$17,336,370","$17,336,370",100%,-,-
66,Angel Heart,"$17,185,632","$17,185,632",100%,-,-
67,Burglar,"$16,337,355","$16,337,355",100%,-,-
68,Over the Top,"$16,057,580","$16,057,580",100%,-,-
69,Superman IV: The Quest for Peace,"$15,681,020","$15,681,020",100%,-,-
70,Flowers in the Attic,"$15,151,736","$15,151,736",100%,-,-
71,Radio Days,"$14,792,779","$14,792,779",100%,-,-
72,Hellraiser,"$14,564,027","$14,564,027",100%,-,-
73,Ishtar,"$14,375,181","$14,375,181",100%,-,-
74,Prince of Darkness,"$14,182,492","$14,182,492",100%,-,-
75,Creepshow 2,"$14,000,000","$14,000,000",100%,-,-
76,Hamburger Hill,"$13,839,404","$13,839,404",100%,-,-
77,The Gate,"$13,539,458","$13,539,458",100%,-,-
78,The Pick-up Artist,"$13,290,368","$13,290,368",100%,-,-
79,Back to the Beach,"$13,110,903","$13,110,903",100%,-,-
80,The Bedroom Window,"$12,640,385","$12,640,385",100%,-,-
81,The Fourth Protocol,"$12,423,831","$12,423,831",100%,-,-
82,Less Than Zero,"$12,396,383","$12,396,383",100%,-,-
83,Fatal Beauty,"$12,046,526","$12,046,526",100%,-,-
84,Extreme Prejudice,"$11,307,844","$11,307,844",100%,-,-
