Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806",41.6%,"$277,000,000",58.4%
2,Batman,"$411,348,924","$251,188,924",61.1%,"$160,160,000",38.9%
3,Back to the Future Part II,"$331,950,002","$118,450,002",35.7%,"$213,500,000",64.3%
4,Look Who's Talking,"$296,999,813","$140,088,813",47.2%,"$156,911,000",52.8%
5,Lethal Weapon 2,"$227,853,986","$147,253,986",64.6%,"$80,600,000",35.4%
6,"Honey, I Shrunk the Kids","$222,724,172","$130,724,172",58.7%,"$92,000,000",41.3%
7,Ghostbusters II,"$215,394,738","$112,494,738",52.2%,"$102,900,000",47.8%
8,The Little Mermaid,"$184,155,863","$84,355,863",45.8%,"$99,800,000",54.2%
9,Born on the Fourth of July,"$161,001,698","$70,001,698",43.5%,"$91,000,000",56.5%
10,The War of the Roses,"$160,188,546","$86,888,546",54.2%,"$73,300,000",45.8%
11,Licence to Kill,"$156,167,015","$34,667,015",22.2%,"$121,500,000",77.8%
12,Driving Miss Daisy,"$145,793,296","$106,593,296",73.1%,"$39,200,000",26.9%
13,Black Rain,"$134,212,055","$46,212,055",34.4%,"$88,000,000",65.6%
14,Parenthood,"$126,297,830","$100,047,830",79.2%,"$26,250,000",20.8%
15,Sea of Love,"$110,879,513","$58,571,513",52.8%,"$52,308,000",47.2%
16,Steel Magnolias,"$95,904,091","$83,759,091",87.3%,"$12,145,000",12.7%
17,When Harry Met Sally...,"$92,823,546","$92,823,546",100%,-,-
18,The Abyss,"$89,761,361","$54,222,310",60.4%,"$35,539,051",39.6%
19,Field of Dreams,"$84,431,625","$64,431,625",76.3%,"$20,000,000",23.7%
20,Uncle Buck,"$79,258,538","$66,758,538",84.2%,"$12,500,000",15.8%
21,K-9,"$78,247,647","$43,247,647",55.3%,"$35,000,000",44.7%
22,Always,"$74,134,790","$43,858,790",59.2%,"$30,276,000",40.8%
23,National Lampoon's Christmas Vacation,"$71,319,526","$71,319,526",100%,-,-
24,Turner & Hooch,"$71,079,915","$71,079,915",100%,-,-
25,Tango & Cash,"$63,408,614","$63,408,614",100%,-,-
26,Harlem Nights,"$60,864,870","$60,864,870",100%,-,-
27,Pet Sematary,"$57,469,467","$57,469,467",100%,-,-
28,Star Trek V: The Final Frontier,"$52,210,049","$52,210,049",100%,-,-
29,Major League,"$49,797,148","$49,797,148",100%,-,-
30,The 'Burbs,"$49,101,993","$36,601,993",74.5%,"$12,500,000",25.5%
31,"See No Evil, Hear No Evil","$46,908,987","$46,908,987",100%,-,-
32,Three Fugitives,"$40,586,886","$40,586,886",100%,-,-
33,Bill & Ted's Excellent Adventure,"$40,485,039","$40,485,039",100%,-,-
34,Fletch Lives,"$39,450,960","$35,150,960",89.1%,"$4,300,000",10.9%
35,The Karate Kid Part III,"$38,956,288","$38,956,288",100%,-,-
36,The Fly II,"$38,903,179","$20,021,322",51.5%,"$18,881,857",48.5%
37,Do the Right Thing,"$37,295,445","$27,545,445",73.9%,"$9,750,000",26.1%
38,Lean on Me,"$31,906,454","$31,906,454",100%,-,-
39,The Bear,"$31,753,898","$31,753,898",100%,-,-
40,Weekend at Bernie's,"$30,218,387","$30,218,387",100%,-,-
41,Road House,"$30,050,028","$30,050,028",100%,-,-
42,Peter Pan 1989 Re-release,"$29,445,131","$29,445,131",100%,-,-
43,The Dream Team,"$28,890,240","$28,890,240",100%,-,-
44,Dad,"$27,503,037","$22,103,037",80.4%,"$5,400,000",19.6%
45,All Dogs Go to Heaven,"$27,100,027","$27,100,027",100%,-,-
