Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Titanic,"$1,843,314,226","$600,788,188",32.6%,"$1,242,526,038",67.4%
2,The Lost World: Jurassic Park,"$618,638,999","$229,086,679",37%,"$389,552,320",63%
3,Men in Black,"$589,390,539","$250,690,539",42.5%,"$338,700,000",57.5%
4,Tomorrow Never Dies,"$333,011,068","$125,304,276",37.6%,"$207,706,792",62.4%
5,Air Force One,"$315,156,409","$172,956,409",54.9%,"$142,200,000",45.1%
6,As Good as It Gets,"$314,178,011","$148,478,011",47.3%,"$165,700,000",52.7%
7,Liar Liar,"$302,710,615","$181,410,615",59.9%,"$121,300,000",40.1%
8,My Best Friend's Wedding,"$299,288,605","$127,120,029",42.5%,"$172,168,576",57.5%
9,The Fifth Element,"$263,920,180","$63,820,180",24.2%,"$200,100,000",75.8%
10,The Full Monty,"$257,938,649","$45,950,122",17.8%,"$211,988,527",82.2%
11,Star Wars: Episode IV - A New Hope 1997 Special Edition,"$256,905,873","$138,257,865",53.8%,"$118,648,008",46.2%
12,Hercules,"$252,712,101","$99,112,101",39.2%,"$153,600,000",60.8%
13,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%
14,Face/Off,"$245,676,146","$112,276,146",45.7%,"$133,400,000",54.3%
15,Batman & Robin,"$238,207,122","$107,325,195",45.1%,"$130,881,927",54.9%
16,Good Will Hunting,"$225,933,435","$138,433,435",61.3%,"$87,500,000",38.7%
17,Con Air,"$224,012,234","$101,117,573",45.1%,"$122,894,661",54.9%
18,Dante's Peak,"$178,127,760","$67,127,760",37.7%,"$111,000,000",62.3%
19,Flubber,"$177,977,226","$92,977,226",52.2%,"$85,000,000",47.8%
20,George of the Jungle,"$174,463,257","$105,263,257",60.3%,"$69,200,000",39.7%
21,Scream 2,"$172,363,301","$101,363,301",58.8%,"$71,000,000",41.2%
22,Contact,"$171,120,329","$100,920,329",59%,"$70,200,000",41%
23,Speed 2: Cruise Control,"$164,508,066","$48,608,066",29.5%,"$115,900,000",70.5%
24,Alien: Resurrection,"$161,376,069","$47,795,658",29.6%,"$113,580,411",70.4%
25,The Jackal,"$159,330,280","$54,930,280",34.5%,"$104,400,000",65.5%
26,The Devil's Advocate,"$152,944,660","$60,944,660",39.8%,"$92,000,000",60.2%
27,The Devil's Own,"$140,807,547","$42,868,348",30.4%,"$97,939,199",69.6%
28,Anastasia,"$139,804,348","$58,406,347",41.8%,"$81,398,001",58.2%
29,Conspiracy Theory,"$136,982,834","$75,982,834",55.5%,"$61,000,000",44.5%
30,Anaconda,"$136,885,767","$65,885,767",48.1%,"$71,000,000",51.9%
31,Seven Years in Tibet,"$131,457,682","$37,957,682",28.9%,"$93,500,000",71.1%
32,L.A. Confidential,"$126,216,940","$64,616,940",51.2%,"$61,600,000",48.8%
33,I Know What You Did Last Summer,"$125,586,134","$72,586,134",57.8%,"$53,000,000",42.2%
34,Donnie Brasco,"$124,909,762","$41,909,762",33.6%,"$83,000,000",66.4%
35,Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$124,830,460","$67,597,694",54.2%,"$57,232,766",45.8%
36,Volcano,"$122,823,468","$49,323,468",40.2%,"$73,500,000",59.8%
37,Mousehunt,"$122,417,389","$61,917,389",50.6%,"$60,500,000",49.4%
38,Starship Troopers,"$121,214,377","$54,814,377",45.2%,"$66,400,000",54.8%
39,The Saint,"$118,063,304","$61,363,304",52%,"$56,700,000",48%
40,The Peacemaker,"$110,463,140","$41,263,140",37.4%,"$69,200,000",62.6%
41,The Game,"$109,423,648","$48,323,648",44.2%,"$61,100,000",55.8%
42,Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%
43,Spawn,"$87,840,042","$54,870,175",62.5%,"$32,969,867",37.5%
44,Home Alone 3,"$79,082,515","$30,882,515",39.1%,"$48,200,000",60.9%
45,Austin Powers: International Man of Mystery,"$67,683,989","$53,883,989",79.6%,"$13,800,000",20.4%
46,Wag the Dog,"$64,256,513","$43,061,945",67%,"$21,194,568",33%
