Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Back to the Future,"$381,109,762","$210,609,762",55.3%,"$170,500,000",44.7%
2,Rocky IV,"$300,473,716","$127,873,716",42.6%,"$172,600,000",57.4%
3,Rambo: First Blood Part II,"$300,400,432","$150,415,432",50.1%,"$149,985,000",49.9%
4,Out of Africa,"$227,514,205","$87,071,205",38.3%,"$140,443,000",61.7%
5,The Jewel of the Nile,"$96,773,200","$75,973,200",78.5%,"$20,800,000",21.5%
6,The Color Purple,"$94,175,854","$94,175,854",100%,-,-
7,Cocoon,"$85,313,124","$76,113,124",89.2%,"$9,200,000",10.8%
8,Witness,"$68,706,993","$68,706,993",100%,-,-
9,The Goonies,"$61,389,680","$61,389,680",100%,-,-
10,E.T. the Extra-Terrestrial 1985 Re-release,"$60,903,502","$40,607,502",66.7%,"$20,296,000",33.3%
11,Spies Like Us,"$60,088,980","$60,088,980",100%,-,-
12,Fletch,"$59,612,888","$50,612,888",84.9%,"$9,000,000",15.1%
13,Commando,"$57,491,000","$35,100,000",61.1%,"$22,391,000",38.9%
14,Police Academy 2: Their First Assignment,"$55,600,000","$55,600,000",100%,-,-
15,The Breakfast Club,"$51,525,171","$45,875,171",89%,"$5,650,000",11%
16,A View to a Kill,"$50,327,960","$50,327,960",100%,-,-
17,National Lampoon's European Vacation,"$49,364,621","$49,364,621",100%,-,-
18,Mask,"$48,230,162","$48,230,162",100%,-,-
19,Brewster's Millions,"$45,833,132","$40,833,132",89.1%,"$5,000,000",10.9%
20,White Nights,"$42,160,849","$42,160,849",100%,-,-
21,Pale Rider,"$41,410,568","$41,410,568",100%,-,-
22,Pee-wee's Big Adventure,"$40,940,662","$40,940,662",100%,-,-
23,Jagged Edge,"$40,491,165","$40,491,165",100%,-,-
24,Weird Science,"$38,934,048","$23,834,048",61.2%,"$15,100,000",38.8%
25,St. Elmo's Fire,"$37,803,872","$37,803,872",100%,-,-
26,Mad Max Beyond Thunderdome,"$36,230,219","$36,230,219",100%,-,-
27,Teen Wolf,"$33,086,611","$33,086,611",100%,-,-
28,One Hundred and One Dalmatians 1985 Re-release,"$33,049,729","$33,049,729",100%,-,-
29,Silverado,"$32,192,570","$32,192,570",100%,-,-
30,Murphy's Romance,"$30,867,525","$30,867,525",100%,-,-
31,A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213","$29,999,213",100%,-,-
32,Desperately Seeking Susan,"$27,398,584","$27,398,584",100%,-,-
33,Prizzi's Honor,"$26,657,534","$26,657,534",100%,-,-
34,The Last Dragon,"$25,754,284","$25,754,284",100%,-,-
35,Agnes of God,"$25,627,836","$25,627,836",100%,-,-
36,Fright Night,"$24,922,237","$24,922,237",100%,-,-
37,Summer Rental,"$24,689,703","$24,689,703",100%,-,-
38,The Emerald Forest,"$24,468,550","$24,468,550",100%,-,-
39,Santa Claus: The Movie,"$23,717,291","$23,717,291",100%,-,-
40,The Care Bears Movie,"$22,934,622","$22,934,622",100%,-,-
41,Friday the 13th: A New Beginning,"$21,930,418","$21,930,418",100%,-,-
42,The Black Cauldron,"$21,288,692","$21,288,692",100%,-,-
43,Porky's Revenge,"$20,518,905","$20,518,905",100%,-,-
44,Code of Silence,"$20,345,361","$20,345,361",100%,-,-
45,Volunteers,"$19,875,740","$19,875,740",100%,-,-
46,Young Sherlock Holmes,"$19,739,575","$19,739,575",100%,-,-
47,Year of the Dragon,"$18,707,466","$18,707,466",100%,-,-
48,Ladyhawke,"$18,432,000","$18,432,000",100%,-,-
49,The Sure Thing,"$18,135,531","$18,135,531",100%,-,-
50,Invasion U.S.A.,"$17,536,256","$17,536,256",100%,-,-
51,To Live and Die in L.A.,"$17,307,019","$17,307,019",100%,-,-
52,The Falcon and the Snowman,"$17,130,087","$17,130,087",100%,-,-
