Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Star Wars: Episode VI - Return of the Jedi,"$374,593,074","$252,583,617",67.4%,"$122,009,457",32.6%
2,Terms of Endearment,"$108,423,489","$108,423,489",100%,-,-
3,Flashdance,"$92,921,203","$92,921,203",100%,-,-
4,Trading Places,"$90,404,800","$90,404,800",100%,-,-
5,Jaws 3-D,"$87,987,055","$45,517,055",51.7%,"$42,470,000",48.3%
6,WarGames,"$79,567,667","$79,567,667",100%,-,-
7,Octopussy,"$67,893,619","$67,893,619",100%,-,-
8,Sudden Impact,"$67,642,693","$67,642,693",100%,-,-
9,Scarface,"$65,144,798","$44,668,798",68.6%,"$20,476,000",31.4%
10,Staying Alive,"$64,892,670","$64,892,670",100%,-,-
11,Mr. Mom,"$64,783,827","$64,783,827",100%,-,-
12,Risky Business,"$63,541,777","$63,541,777",100%,-,-
13,National Lampoon's Vacation,"$61,399,552","$61,399,552",100%,-,-
14,Superman III,"$59,950,623","$59,950,623",100%,-,-
15,The Big Chill,"$56,342,711","$56,342,711",100%,-,-
16,Never Say Never Again,"$55,432,841","$55,432,841",100%,-,-
17,Blue Thunder,"$42,313,354","$42,313,354",100%,-,-
18,Yentl,"$40,218,899","$40,218,899",100%,-,-
19,Silkwood,"$35,615,609","$35,615,609",100%,-,-
20,Psycho II,"$34,725,000","$34,725,000",100%,-,-
21,Porky's II: The Next Day,"$33,759,266","$33,759,266",100%,-,-
22,Uncommon Valor,"$30,503,151","$30,503,151",100%,-,-
23,Snow White and the Seven Dwarfs 1983 Re-release,"$30,100,000","$30,100,000",100%,-,-
24,Never Cry Wolf,"$29,600,000","$29,600,000",100%,-,-
25,Twilight Zone: The Movie,"$29,450,919","$29,450,919",100%,-,-
26,Easy Money,"$29,309,766","$29,309,766",100%,-,-
27,High Road to China,"$28,445,927","$28,445,927",100%,-,-
28,The Outsiders,"$25,697,647","$25,697,647",100%,-,-
29,Spring Break,"$24,071,666","$24,071,666",100%,-,-
30,Two of a Kind,"$23,646,952","$23,646,952",100%,-,-
31,My Tutor,"$22,587,834","$22,587,834",100%,-,-
32,Class,"$21,667,789","$21,667,789",100%,-,-
33,The Right Stuff,"$21,192,102","$21,192,102",100%,-,-
34,Cujo,"$21,156,152","$21,156,152",100%,-,-
35,Christine,"$21,017,849","$21,017,849",100%,-,-
36,The Rescuers 1983 Re-release,"$21,000,000","$21,000,000",100%,-,-
37,The Dead Zone,"$20,766,616","$20,766,616",100%,-,-
38,Breathless,"$19,910,002","$19,910,002",100%,-,-
39,A Christmas Story,"$19,294,144","$19,294,144",100%,-,-
40,Max Dugan Returns,"$17,613,720","$17,613,720",100%,-,-
41,Valley Girl,"$17,343,596","$17,343,596",100%,-,-
42,All the Right Moves,"$17,233,166","$17,233,166",100%,-,-
43,Krull,"$16,519,460","$16,519,460",100%,-,-
44,Spacehunter: Adventures in the Forbidden Zone,"$16,478,265","$16,478,265",100%,-,-
45,Richard Pryor... Here and Now,"$16,156,776","$16,156,776",100%,-,-
46,D.C. Cab,"$16,134,627","$16,134,627",100%,-,-
47,Gorky Park,"$15,856,028","$15,856,028",100%,-,-
48,Still Smokin,"$15,543,710","$15,543,710",100%,-,-
49,The Meaning of Life,"$14,929,552","$14,929,552",100%,-,-
50,Educating Rita,"$14,648,076","$14,648,076",100%,-,-
51,Private School,"$14,049,540","$14,049,540",100%,-,-
52,The Survivors,"$14,000,000","$14,000,000",100%,-,-
53,The Entity,"$13,277,558","$13,277,558",100%,-,-
54,Revenge of the Ninja,"$13,168,027","$13,168,027",100%,-,-
55,To Be or Not to Be,"$13,030,214","$13,030,214",100%,-,-
56,Stroker Ace,"$13,000,000","$13,000,000",100%,-,-
57,Lone Wolf McQuade,"$12,232,628","$12,232,628",100%,-,-
58,The Black Stallion Returns,"$12,049,108","$12,049,108",100%,-,-
59,The Sword in the Stone,"$12,000,000","$12,000,000",100%,-,-
60,Deathstalker,"$11,919,250","$11,919,250",100%,-,-
61,Zelig,"$11,798,616","$11,798,616",100%,-,-
62,The Lords of Discipline,"$11,787,127","$11,787,127",100%,-,-
63,Raiders of the Lost Ark 1983 Re-release,"$11,374,454","$11,374,454",100%,-,-
64,The Smurfs and the Magic Flute,"$11,234,220","$11,234,220",100%,-,-
65,The Man Who Loved Women,"$10,964,231","$10,964,231",100%,-,-
66,Hercules,"$10,676,194","$10,676,194",100%,-,-
67,The House on Sorority Row,"$10,604,986","$10,604,986",100%,-,-
68,Doctor Detroit,"$10,375,893","$10,375,893",100%,-,-
69,Deal of the Century,"$10,369,581","$10,369,581",100%,-,-
70,The Man with Two Brains,"$10,353,438","$10,353,438",100%,-,-
71,The Year of Living Dangerously,"$10,278,575","$10,278,575",100%,-,-
72,Brainstorm,"$10,219,460","$10,219,460",100%,-,-
73,Lovesick,"$10,171,304","$10,171,304",100%,-,-
74,Without a Trace,"$9,632,062","$9,632,062",100%,-,-
75,Bad Boys,"$9,190,819","$9,190,819",100%,-,-
76,Rear Window 1983 Re-release,"$9,084,873","$9,084,420",100%,$453,<0.1%
77,Strange Brew,"$8,571,374","$8,571,374",100%,-,-
78,Tender Mercies,"$8,443,124","$8,443,124",100%,-,-
79,Something Wicked This Way Comes,"$8,400,000","$8,400,000",100%,-,-
80,10 to Midnight,"$7,175,592","$7,175,592",100%,-,-
81,Romantic Comedy,"$6,857,733","$6,857,733",100%,-,-
82,Fanny and Alexander,"$6,783,304","$6,783,304",100%,-,-
83,Nightmares,"$6,670,680","$6,670,680",100%,-,-
84,The Golden Seal,"$6,666,725","$6,666,725",100%,-,-
85,The Osterman Weekend,"$6,486,797","$6,486,797",100%,-,-
86,Star 80,"$6,472,990","$6,472,990",100%,-,-
87,The Sting II,"$6,347,072","$6,347,072",100%,-,-
88,Amityville 3-D,"$6,333,135","$6,333,135",100%,-,-
89,Chained Heat,"$6,149,983","$6,149,983",100%,-,-
90,Beyond the Limit,"$5,997,566","$5,997,566",100%,-,-
91,The Hunger,"$5,979,292","$5,979,292",100%,-,-
92,Local Hero,"$5,895,761","$5,895,761",100%,-,-
93,Porky's 1983 Re-release,"$5,797,190","$5,797,190",100%,-,-
94,Under Fire,"$5,696,391","$5,696,391",100%,-,-
95,Smokey and the Bandit Part 3,"$5,678,950","$5,678,950",100%,-,-
96,A Night in Heaven,"$5,563,663","$5,563,663",100%,-,-
97,The Star Chamber,"$5,555,305","$5,555,305",100%,-,-
98,The Grey Fox,"$5,516,140","$5,516,140",100%,-,-
99,Vertigo 1983 Re-release,"$5,343,461","$5,343,461",100%,-,-
100,The Dresser,"$5,310,748","$5,310,748",100%,-,-
101,Metalstorm: The Destruction of Jared-Syn,"$5,301,085","$5,301,085",100%,-,-
102,Vigilante,"$5,091,888","$5,091,888",100%,-,-
103,Eddie and the Cruisers,"$4,786,789","$4,786,789",100%,-,-
104,Curse of the Pink Panther,"$4,491,986","$4,491,986",100%,-,-
105,Mortuary,"$4,319,001","$4,319,001",100%,-,-
106,Trenchcoat,"$4,304,286","$4,304,286",100%,-,-
107,Yellowbeard,"$4,300,000","$4,300,000",100%,-,-
108,The Keep,"$4,218,594","$4,218,594",100%,-,-
109,Joysticks,"$3,952,448","$3,952,448",100%,-,-
110,Let's Spend the Night Together,"$3,821,199","$3,821,199",100%,-,-
111,La traviata,"$3,783,329","$3,783,329",100%,-,-
112,The Return of Martin Guerre,"$3,704,433","$3,704,433",100%,-,-
113,Running Brave,"$3,000,000","$3,000,000",100%,-,-
114,"Yor, the Hunter from the Future","$2,810,199","$2,810,199",100%,-,-
115,The Final Option,"$2,666,873","$2,666,873",100%,-,-
116,The Evil Dead,"$2,661,944","$2,400,000",90.2%,"$261,944",9.8%
117,The King of Comedy,"$2,536,242","$2,536,242",100%,-,-
118,Rumble Fish,"$2,494,480","$2,494,480",100%,-,-
119,The Man Who Wasn't There,"$2,443,487","$2,443,487",100%,-,-
120,Table for Five,"$2,439,705","$2,439,705",100%,-,-
121,Tough Enough,"$2,433,722","$2,433,722",100%,-,-
122,"Man, Woman and Child","$2,314,561","$2,314,561",100%,-,-
123,Merry Christmas Mr. Lawrence,"$2,306,560","$2,306,560",100%,-,-
124,The Draughtsman's Contract,"$2,256,246","$2,256,246",100%,-,-
125,The Night of the Shooting Stars,"$2,251,121","$2,251,121",100%,-,-
126,Videodrome,"$2,120,439","$2,120,439",100%,-,-
127,Friday the 13th Part III 1983 Re-release,"$2,108,548","$2,108,548",100%,-,-
128,Screwballs,"$2,082,215","$2,082,215",100%,-,-
129,Testament,"$2,044,892","$2,044,892",100%,-,-
130,Pieces,"$2,032,311","$2,032,311",100%,-,-
131,Savage Islands,"$1,963,756","$1,963,756",100%,-,-
132,Baby It's You,"$1,867,792","$1,867,792",100%,-,-
133,Heat and Dust,"$1,741,435","$1,741,435",100%,-,-
134,Koyaanisqatsi,"$1,723,872","$1,723,872",100%,-,-
135,Stryker,"$1,723,487","$1,723,487",100%,-,-
136,Get Crazy,"$1,645,711","$1,645,711",100%,-,-
137,Lianna,"$1,530,839","$1,530,839",100%,-,-
138,Strange Invaders,"$1,362,303","$1,362,303",100%,-,-
139,Losin' It,"$1,246,141","$1,246,141",100%,-,-
140,The Lonely Lady,"$1,223,200","$1,223,200",100%,-,-
141,Possession,"$1,113,538","$1,113,538",100%,-,-
142,"Say Amen, Somebody","$1,108,299","$1,108,299",100%,-,-
143,Of Unknown Origin,"$1,080,470","$1,080,470",100%,-,-
144,Getting It On,"$975,414","$975,414",100%,-,-
145,Rocky III 1983 Re-release,"$902,228","$902,228",100%,-,-
146,American Playhouse: The Ballad of Gregorio Cortez,"$804,963","$804,963",100%,-,-
147,Lonely Hearts,"$777,087","$777,087",100%,-,-
148,Fire and Ice,"$760,883","$760,883",100%,-,-
149,The Pirates of Penzance,"$694,497","$694,497",100%,-,-
150,Daniel,"$687,475","$687,475",100%,-,-
151,Poltergeist 1983 Re-release,"$536,108","$536,108",100%,-,-
152,Streamers,"$378,452","$378,452",100%,-,-
153,Britannia Hospital,"$375,713","$375,713",100%,-,-
154,Boarding School,"$306,061","$306,061",100%,-,-
155,Heart Like a Wheel,"$272,278","$272,278",100%,-,-
156,Puberty Blues,"$237,000","$237,000",100%,-,-
157,The Girl with the Red Hair,"$39,001","$39,001",100%,-,-
158,Rock & Rule,"$30,379","$30,379",100%,-,-
