Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Top Gun,"$353,811,728","$176,781,728",50%,"$177,030,000",50%
2,Crocodile Dundee,"$328,203,506","$174,803,506",53.3%,"$153,400,000",46.7%
3,Platoon,"$138,545,632","$138,530,565",100%,"$15,067",<0.1%
4,Aliens,"$131,060,248","$85,160,248",65%,"$45,900,000",35%
5,The Karate Kid Part II,"$115,103,979","$115,103,979",100%,-,-
6,Star Trek IV: The Voyage Home,"$109,713,132","$109,713,132",100%,-,-
7,Legal Eagles,"$93,151,591","$49,851,591",53.5%,"$43,300,000",46.5%
8,Back to School,"$91,258,000","$91,258,000",100%,-,-
9,An American Tail,"$84,542,002","$47,483,002",56.2%,"$37,059,000",43.8%
10,The Golden Child,"$79,817,937","$79,817,937",100%,-,-
11,Ruthless People,"$71,624,879","$71,624,879",100%,-,-
12,Ferris Bueller's Day Off,"$70,712,677","$70,136,369",99.2%,"$576,308",0.8%
13,Down and Out in Beverly Hills,"$62,134,225","$62,134,225",100%,-,-
14,The Fly,"$60,629,159","$40,456,565",66.7%,"$20,172,594",33.3%
15,The Money Pit,"$54,999,651","$37,499,651",68.2%,"$17,500,000",31.8%
16,The Color of Money,"$52,293,982","$52,293,982",100%,-,-
17,Stand by Me,"$52,287,414","$52,287,414",100%,-,-
18,Cobra,"$49,042,224","$49,042,224",100%,-,-
19,Police Academy 3: Back in Training,"$43,579,163","$43,579,163",100%,-,-
20,Heartbreak Ridge,"$42,724,017","$42,724,017",100%,-,-
21,Peggy Sue Got Married,"$41,488,348","$41,382,841",99.7%,"$105,507",0.3%
22,Poltergeist II: The Other Side,"$40,996,665","$40,996,665",100%,-,-
23,Short Circuit,"$40,697,761","$40,697,761",100%,-,-
24,Pretty in Pink,"$40,471,663","$40,471,663",100%,-,-
25,¡Three Amigos!,"$39,246,734","$39,246,734",100%,-,-
26,Little Shop of Horrors,"$38,748,395","$38,748,395",100%,-,-
27,About Last Night,"$38,702,310","$38,702,310",100%,-,-
28,Running Scared,"$38,500,726","$38,500,726",100%,-,-
29,Howard the Duck,"$37,962,774","$16,295,774",42.9%,"$21,667,000",57.1%
30,Gung Ho,"$36,611,610","$36,611,610",100%,-,-
31,Hannah and Her Sisters,"$35,392,203","$35,392,203",100%,-,-
32,Nothing in Common,"$32,324,557","$32,324,557",100%,-,-
33,Children of a Lesser God,"$31,853,080","$31,853,080",100%,-,-
34,Lady and the Tramp 1986 Re-release,"$31,129,082","$31,129,082",100%,-,-
35,Jumpin' Jack Flash,"$29,844,101","$29,844,101",100%,-,-
36,Hoosiers,"$28,607,524","$28,607,524",100%,-,-
37,Soul Man,"$27,820,000","$27,820,000",100%,-,-
38,Wildcats,"$26,285,544","$26,285,544",100%,-,-
39,The Great Mouse Detective,"$25,336,794","$25,336,794",100%,-,-
40,Heartburn,"$25,314,189","$25,314,189",100%,-,-
41,The Morning After,"$25,147,055","$25,147,055",100%,-,-
42,Iron Eagle,"$24,159,872","$24,159,872",100%,-,-
43,Crimes of the Heart,"$22,905,522","$22,905,522",100%,-,-
44,Tough Guys,"$21,458,229","$21,458,229",100%,-,-
45,A Room with a View,"$21,020,216","$20,966,644",99.7%,"$53,572",0.3%
46,F/X,"$20,603,715","$20,603,715",100%,-,-
47,Friday the 13th Part VI: Jason Lives,"$19,472,057","$19,472,057",100%,-,-
48,House,"$19,444,631","$19,444,631",100%,-,-
49,Flight of the Navigator,"$18,564,613","$18,564,613",100%,-,-
50,"Jo Jo Dancer, Your Life Is Calling","$18,034,150","$18,034,150",100%,-,-
51,The Delta Force,"$17,768,900","$17,768,900",100%,-,-
52,Song of the South 1986 Re-release,"$17,659,346","$17,659,346",100%,-,-
53,The Mission,"$17,218,023","$17,218,023",100%,-,-
54,Raw Deal,"$16,209,459","$16,209,459",100%,-,-
55,Armed and Dangerous,"$15,945,534","$15,945,534",100%,-,-
56,Legend,"$15,502,112","$15,502,112",100%,-,-
57,Youngblood,"$15,448,384","$15,448,384",100%,-,-
58,Sleeping Beauty 1986 Re-release,"$15,120,195","$15,120,195",100%,-,-
59,Psycho III,"$14,481,606","$14,481,606",100%,-,-
60,The Mosquito Coast,"$14,302,779","$14,302,779",100%,-,-
61,Sweet Liberty,"$14,205,021","$14,205,021",100%,-,-
62,One Crazy Summer,"$13,431,806","$13,431,806",100%,-,-
63,Extremities,"$13,418,091","$13,418,091",100%,-,-
64,Critters,"$13,167,232","$13,167,232",100%,-,-
65,April Fool's Day,"$12,947,763","$12,947,763",100%,-,-
66,Labyrinth,"$12,906,759","$12,729,917",98.6%,"$176,842",1.4%
67,Club Paradise,"$12,308,521","$12,308,521",100%,-,-
