Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
68,No Mercy,"$12,303,904","$12,303,904",100%,-,-
69,Brighton Beach Memoirs,"$11,957,943","$11,957,943",100%,-,-
70,Firewalker,"$11,949,484","$11,949,484",100%,-,-
71,Big Trouble in Little China,"$11,100,000","$11,100,000",100%,-,-
72,Under the Cherry Moon,"$10,090,429","$10,090,429",100%,-,-
73,Murphy's Law,"$9,947,631","$9,947,631",100%,-,-
74,SpaceCamp,"$9,697,739","$9,697,739",100%,-,-
75,Deadly Friend,"$8,988,731","$8,988,731",100%,-,-
76,Manhunter,"$8,620,929","$8,620,929",100%,-,-
77,Blue Velvet,"$8,551,228","$8,551,228",100%,-,-
78,Care Bears Movie II: A New Generation,"$8,540,346","$8,540,346",100%,-,-
79,Wise Guys,"$8,475,466","$8,475,466",100%,-,-
80,Something Wild,"$8,362,969","$8,362,969",100%,-,-
81,Lucas,"$8,200,000","$8,200,000",100%,-,-
82,Haunted Honeymoon,"$8,033,397","$8,033,397",100%,-,-
83,The Texas Chainsaw Massacre 2,"$8,025,872","$8,025,872",100%,-,-
84,The Best of Times,"$7,790,931","$7,790,931",100%,-,-
85,Quicksilver,"$7,634,909","$7,634,909",100%,-,-
86,Maximum Overdrive,"$7,433,663","$7,433,663",100%,-,-
87,Witchboard,"$7,369,373","$7,369,373",100%,-,-
88,The Boy Who Could Fly,"$7,177,431","$7,177,431",100%,-,-
89,The Name of the Rose,"$7,153,487","$7,153,487",100%,-,-
90,She's Gotta Have It,"$7,137,502","$7,137,502",100%,-,-
91,Blue City,"$6,947,787","$6,947,787",100%,-,-
92,Trick or Treat,"$6,797,218","$6,797,218",100%,-,-
93,9½ Weeks,"$6,735,922","$6,735,922",100%,-,-
94,Black Moon Rising,"$6,637,565","$6,637,565",100%,-,-
95,Just Between Friends,"$6,408,791","$6,408,791",100%,-,-
96,A Fine Mess,"$6,029,824","$6,029,824",100%,-,-
97,My Little Pony: The Movie,"$5,958,456","$5,958,456",100%,-,-
98,Highlander,"$5,900,000","$5,900,000",100%,-,-
99,The Transformers: The Movie,"$5,849,647","$5,849,647",100%,-,-
100,The Hitcher,"$5,844,868","$5,844,868",100%,-,-
101,Crossroads,"$5,839,031","$5,839,031",100%,-,-
102,Mona Lisa,"$5,794,184","$5,794,184",100%,-,-
103,Troll,"$5,450,815","$5,450,815",100%,-,-
104,52 Pick-Up,"$5,186,646","$5,186,646",100%,-,-
105,Out of Bounds,"$5,099,316","$5,099,316",100%,-,-
106,Vamp,"$4,941,117","$4,941,117",100%,-,-
107,Invaders from Mars,"$4,884,663","$4,884,663",100%,-,-
108,Band of the Hand,"$4,865,912","$4,865,912",100%,-,-
109,American Anthem,"$4,845,724","$4,845,724",100%,-,-
110,Off Beat,"$4,842,778","$4,842,778",100%,-,-
111,My Chauffeur,"$4,781,448","$4,781,448",100%,-,-
112,Violets Are Blue...,"$4,743,287","$4,743,287",100%,-,-
113,King Kong Lives,"$4,711,220","$4,711,220",100%,-,-
114,Avenging Force,"$4,679,650","$4,679,650",100%,-,-
115,"No Retreat, No Surrender","$4,662,137","$4,662,137",100%,-,-
116,Fire with Fire,"$4,636,169","$4,636,169",100%,-,-
117,Eliminators,"$4,601,256","$4,601,256",100%,-,-
118,That's Life!,"$4,079,895","$4,079,895",100%,-,-
119,Tai-Pan,"$4,007,250","$4,007,250",100%,-,-
120,The Manhattan Project,"$3,900,000","$3,900,000",100%,-,-
121,Power,"$3,800,000","$3,800,000",100%,-,-
122,The Wraith,"$3,500,000","$3,500,000",100%,-,-
123,Head Office,"$3,393,807","$3,393,807",100%,-,-
124,Born American,"$3,388,020","$3,388,020",100%,-,-
125,'Round Midnight,"$3,272,593","$3,272,593",100%,-,-
126,The Naked Cage,"$3,136,701","$3,136,701",100%,-,-
127,Bullies,"$2,995,527","$2,995,527",100%,-,-
128,Sid and Nancy,"$2,826,523","$2,826,523",100%,-,-
129,Deadtime Stories,"$2,750,741","$2,750,741",100%,-,-
130,Playing for Keeps,"$2,669,366","$2,669,366",100%,-,-
131,Heathcliff: The Movie,"$2,610,686","$2,610,686",100%,-,-
132,The Men's Club,"$2,556,361","$2,556,361",100%,-,-
133,Streets of Gold,"$2,546,238","$2,546,238",100%,-,-
134,True Stories,"$2,545,142","$2,545,142",100%,-,-
135,Reform School Girls,"$2,510,433","$2,510,433",100%,-,-
136,P.O.W. the Escape,"$2,497,233","$2,497,233",100%,-,-
137,Desert Hearts,"$2,492,088","$2,492,088",100%,-,-
138,My Beautiful Laundrette,"$2,451,545","$2,451,545",100%,-,-
139,"Hey There, It's Yogi Bear","$2,438,233","$2,438,233",100%,-,-
140,Dangerously Close,"$2,390,525","$2,390,525",100%,-,-
141,At Close Range,"$2,347,000","$2,347,000",100%,-,-
142,Shanghai Surprise,"$2,315,683","$2,315,683",100%,-,-
143,Sky Bandits,"$2,295,500","$2,295,500",100%,-,-
144,Nomads,"$2,278,264","$2,278,264",100%,-,-
145,Turtle Diary,"$2,156,772","$2,156,772",100%,-,-
146,Three Men and a Cradle,"$2,052,466","$2,052,466",100%,-,-
147,Rad,"$2,015,882","$2,015,882",100%,-,-
148,Betty Blue,"$2,003,822","$2,003,822",100%,-,-
149,The Clan of the Cave Bear,"$1,953,732","$1,953,732",100%,-,-
150,Jake Speed,"$1,943,751","$1,943,751",100%,-,-
151,The Decline of the American Empire,"$1,902,706","$1,902,706",100%,-,-
152,Quiet Cool,"$1,900,000","$1,900,000",100%,-,-
153,Link,"$1,720,450","$1,720,450",100%,-,-
154,Pirates,"$1,641,825","$1,641,825",100%,-,-
155,Solarbabies,"$1,579,260","$1,579,260",100%,-,-
156,Salvador,"$1,500,000","$1,500,000",100%,-,-
157,Clockwise,"$1,476,356","$1,476,356",100%,-,-
158,Down by Law,"$1,435,668","$1,435,668",100%,-,-
159,GoBots: Battle of the Rock Lords,"$1,338,264","$1,338,264",100%,-,-
160,8 Million Ways to Die,"$1,305,114","$1,305,114",100%,-,-
161,Native Son,"$1,301,121","$1,301,121",100%,-,-
162,The Adventures of the American Rabbit,"$1,268,443","$1,268,443",100%,-,-
163,From Beyond,"$1,261,000","$1,261,000",100%,-,-
164,Water,"$1,256,862","$1,256,862",100%,-,-
165,Touch and Go,"$1,254,040","$1,254,040",100%,-,-
166,Home of the Brave: A Film by Laurie Anderson,"$1,250,000","$1,250,000",100%,-,-
167,Belizaire the Cajun,"$1,142,243","$1,142,243",100%,-,-
168,Half Moon Street,"$1,131,399","$1,131,399",100%,-,-
169,Absolute Beginners,"$930,211","$930,211",100%,-,-
170,Marlene,"$852,676","$852,676",100%,-,-
171,The Adventures of Mark Twain,"$849,915","$849,915",100%,-,-
172,Ginger and Fred,"$837,623","$837,623",100%,-,-
173,Nutcracker,"$781,727","$781,727",100%,-,-
174,Defense of the Realm,"$750,000","$750,000",100%,-,-
175,Where the River Runs Black,"$676,166","$676,166",100%,-,-
176,Modern Girls,"$604,849","$604,849",100%,-,-
177,Knights of the City,"$601,451","$601,451",100%,-,-
178,Code Name: Wild Geese,"$600,000","$600,000",100%,-,-
179,Night of the Creeps,"$591,366","$591,366",100%,-,-
180,Nobody's Fool,"$563,358","$563,358",100%,-,-
181,The Assault,"$512,403","$512,403",100%,-,-
182,Dream Lover,"$502,237","$502,237",100%,-,-
183,"'night, Mother","$441,863","$441,863",100%,-,-
184,Desert Bloom,"$416,393","$416,393",100%,-,-
185,Weekend Warriors,"$351,623","$351,623",100%,-,-
186,La Cage aux Folles 3: The Wedding,"$345,280","$345,280",100%,-,-
187,TerrorVision,"$320,256","$320,256",100%,-,-
188,Every Time We Say Goodbye,"$278,623","$278,623",100%,-,-
189,Lady Jane,"$277,646","$277,646",100%,-,-
190,Willy/Milly,"$277,405","$277,405",100%,-,-
191,The Boy in Blue,"$275,000","$275,000",100%,-,-
192,The Gospel According to Vic,"$267,249","$267,249",100%,-,-
193,Radioactive Dreams,"$220,038","$220,038",100%,-,-
194,The Girl in the Picture,"$202,428","$202,428",100%,-,-
195,Let's Get Harry,"$140,980","$140,980",100%,-,-
196,Stewardess School,"$136,158","$136,158",100%,-,-
197,Jocks,"$120,808","$120,808",100%,-,-
198,Stripper,"$90,000","$90,000",100%,-,-
199,16 Days of Glory,"$83,857","$83,857",100%,-,-
200,Hardbodies 2,"$78,068","$78,068",100%,-,-
201,Hollywood Vice Squad,"$50,379","$50,379",100%,-,-
202,The Vindicator,"$12,000","$12,000",100%,-,-
203,Duet for One,"$8,736","$8,736",100%,-,-
204,Space Rage,"$7,689","$7,689",100%,-,-
205,Crimewave,"$5,101","$5,101",100%,-,-
206,Those Glory Glory Days,"$4,504","$4,504",100%,-,-
207,Winter Flight,"$2,729","$2,729",100%,-,-
