Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%
2,Twister,"$494,471,524","$241,721,524",48.9%,"$252,750,000",51.1%
3,Mission: Impossible,"$457,696,391","$180,981,856",39.5%,"$276,714,535",60.5%
4,The Rock,"$335,062,621","$134,069,511",40%,"$200,993,110",60%
5,The Hunchback of Notre Dame,"$325,338,851","$100,138,851",30.8%,"$225,200,000",69.2%
6,101 Dalmatians,"$320,689,294","$136,189,294",42.5%,"$184,500,000",57.5%
7,Ransom,"$309,492,681","$136,492,681",44.1%,"$173,000,000",55.9%
8,The Nutty Professor,"$273,961,019","$128,814,019",47%,"$145,147,000",53%
9,Jerry Maguire,"$273,552,592","$153,952,592",56.3%,"$119,600,000",43.7%
10,Eraser,"$242,295,562","$101,295,562",41.8%,"$141,000,000",58.2%
11,The English Patient,"$231,976,425","$78,676,425",33.9%,"$153,300,000",66.1%
12,Space Jam,"$230,418,342","$90,418,342",39.2%,"$140,000,000",60.8%
13,The Birdcage,"$185,260,553","$124,060,553",67%,"$61,200,000",33%
14,The First Wives Club,"$181,489,203","$105,489,203",58.1%,"$76,000,000",41.9%
15,Scream,"$173,046,663","$103,046,663",59.5%,"$70,000,000",40.5%
16,Sleepers,"$165,615,285","$53,315,285",32.2%,"$112,300,000",67.8%
17,Daylight,"$159,212,469","$33,023,469",20.7%,"$126,189,000",79.3%
18,A Time to Kill,"$152,266,007","$108,766,007",71.4%,"$43,500,000",28.6%
19,Phenomenon,"$152,036,382","$104,636,382",68.8%,"$47,400,000",31.2%
20,Broken Arrow,"$150,270,147","$70,770,147",47.1%,"$79,500,000",52.9%
21,Romeo + Juliet,"$147,554,998","$46,351,345",31.4%,"$101,203,653",68.6%
22,Star Trek: First Contact,"$146,027,888","$92,027,888",63%,"$54,000,000",37%
23,Evita,"$141,047,179","$50,047,179",35.5%,"$91,000,000",64.5%
24,Jingle All the Way,"$129,832,389","$60,592,389",46.7%,"$69,240,000",53.3%
25,Executive Decision,"$121,969,216","$56,569,216",46.4%,"$65,400,000",53.6%
26,Michael,"$119,718,203","$95,318,203",79.6%,"$24,400,000",20.4%
27,DragonHeart,"$115,267,375","$51,367,375",44.6%,"$63,900,000",55.4%
28,Striptease,"$113,309,743","$33,109,743",29.2%,"$80,200,000",70.8%
29,The Cable Guy,"$102,825,796","$60,240,295",58.6%,"$42,585,501",41.4%
30,Primal Fear,"$102,616,183","$56,116,183",54.7%,"$46,500,000",45.3%
31,Mars Attacks!,"$101,371,017","$37,771,017",37.3%,"$63,600,000",62.7%
32,Courage Under Fire,"$100,860,818","$59,031,057",58.5%,"$41,829,761",41.5%
