Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Die Hard with a Vengeance,"$366,101,666","$100,012,499",27.3%,"$266,089,167",72.7%
2,Toy Story,"$363,007,140","$191,796,233",52.8%,"$171,210,907",47.2%
3,Apollo 13,"$353,148,882","$172,071,312",48.7%,"$181,077,570",51.3%
4,GoldenEye,"$352,194,034","$106,429,941",30.2%,"$245,764,093",69.8%
5,Pocahontas,"$346,079,773","$141,579,773",40.9%,"$204,500,000",59.1%
6,Batman Forever,"$336,529,144","$184,031,112",54.7%,"$152,498,032",45.3%
7,Se7en,"$327,333,559","$100,125,643",30.6%,"$227,207,916",69.4%
8,Casper,"$287,928,194","$100,328,194",34.8%,"$187,600,000",65.2%
9,Waterworld,"$264,218,220","$88,246,220",33.4%,"$175,972,000",66.6%
10,Jumanji,"$262,797,249","$100,475,249",38.2%,"$162,322,000",61.8%
11,Babe,"$254,134,910","$63,658,910",25%,"$190,476,000",75%
12,Braveheart,"$213,216,216","$75,609,945",35.5%,"$137,606,271",64.5%
13,Ace Ventura: When Nature Calls,"$212,385,533","$108,385,533",51%,"$104,000,000",49%
14,Outbreak,"$189,859,560","$67,659,560",35.6%,"$122,200,000",64.4%
15,Heat,"$187,436,818","$67,436,818",36%,"$120,000,000",64%
16,While You Were Sleeping,"$182,057,016","$81,057,016",44.5%,"$101,000,000",55.5%
17,The Bridges of Madison County,"$182,016,617","$71,516,617",39.3%,"$110,500,000",60.7%
18,Dangerous Minds,"$179,519,401","$84,919,401",47.3%,"$94,600,000",52.7%
19,12 Monkeys,"$168,839,459","$57,141,459",33.8%,"$111,698,000",66.2%
20,Crimson Tide,"$157,387,195","$91,387,195",58.1%,"$66,000,000",41.9%
21,Congo,"$152,022,101","$81,022,101",53.3%,"$71,000,000",46.7%
22,Bad Boys,"$141,407,024","$65,807,024",46.5%,"$75,600,000",53.5%
23,Nine Months,"$138,510,230","$69,684,532",50.3%,"$68,825,698",49.7%
24,Sense and Sensibility,"$134,582,776","$43,182,776",32.1%,"$91,400,000",67.9%
25,First Knight,"$127,600,435","$37,600,435",29.5%,"$90,000,000",70.5%
26,Mortal Kombat,"$122,195,920","$70,454,098",57.7%,"$51,741,822",42.3%
27,Casino,"$116,112,375","$42,512,375",36.6%,"$73,600,000",63.4%
28,Get Shorty,"$115,101,622","$72,101,622",62.6%,"$43,000,000",37.4%
29,Judge Dredd,"$113,493,481","$34,693,481",30.6%,"$78,800,000",69.4%
30,Species,"$113,374,103","$60,074,103",53%,"$53,300,000",47%
31,The Net,"$110,627,965","$50,727,965",45.9%,"$59,900,000",54.1%
32,The American President,"$107,879,496","$60,079,496",55.7%,"$47,800,000",44.3%
33,Mr. Holland's Opus,"$106,269,971","$82,569,971",77.7%,"$23,700,000",22.3%
34,Under Siege 2: Dark Territory,"$104,324,083","$50,024,083",48%,"$54,300,000",52%
35,French Kiss,"$101,982,854","$38,896,854",38.1%,"$63,086,000",61.9%
36,Waiting to Exhale,"$81,452,156","$67,052,156",82.3%,"$14,400,000",17.7%
37,Father of the Bride Part II,"$76,594,107","$76,594,107",100%,-,-
38,Grumpier Old Men,"$71,518,503","$71,518,503",100%,-,-
39,Don Juan DeMarco,"$68,792,531","$22,150,451",32.2%,"$46,642,080",67.8%
40,Mighty Morphin Power Rangers: The Movie,"$66,433,194","$38,187,431",57.5%,"$28,245,763",42.5%
41,Sudden Death,"$64,350,171","$20,350,171",31.6%,"$44,000,000",68.4%
42,Clueless,"$56,631,572","$56,631,572",100%,-,-
43,Sabrina,"$53,696,278","$53,672,080",100%,"$24,198",<0.1%
44,Something to Talk About,"$50,865,589","$50,865,589",100%,-,-
45,A Walk in the Clouds,"$50,008,143","$50,008,143",100%,-,-
46,"To Wong Foo Thanks for Everything, Julie Newmar","$47,774,193","$36,474,193",76.3%,"$11,300,000",23.7%
47,The Brady Bunch Movie,"$46,576,136","$46,576,136",100%,-,-
48,How to Make an American Quilt,"$41,200,020","$23,600,020",57.3%,"$17,600,000",42.7%
49,Man of the House,"$40,070,995","$40,070,995",100%,-,-
50,Dead Man Walking,"$39,363,635","$39,363,635",100%,-,-
51,Higher Learning,"$38,290,723","$38,290,723",100%,-,-
52,Now and Then,"$37,591,674","$27,112,329",72.1%,"$10,479,345",27.9%
53,Just Cause,"$36,853,222","$36,853,222",100%,-,-
