Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
34,Little Women,"$50,083,616","$50,083,616",100%,-,-
35,When a Man Loves a Woman,"$50,021,959","$50,021,959",100%,-,-
36,The Paper,"$48,424,341","$38,824,341",80.2%,"$9,600,000",19.8%
37,The Shadow,"$48,063,435","$32,063,435",66.7%,"$16,000,000",33.3%
38,Miracle on 34th Street,"$46,264,384","$17,320,136",37.4%,"$28,944,248",62.6%
39,D2: The Mighty Ducks,"$45,610,410","$45,610,410",100%,-,-
40,City Slickers II: The Legend of Curly's Gold,"$43,622,150","$43,622,150",100%,-,-
41,The Jungle Book,"$43,229,904","$43,229,904",100%,-,-
42,Nobody's Fool,"$39,491,975","$39,491,975",100%,-,-
43,On Deadly Ground,"$38,590,458","$38,590,458",100%,-,-
44,Ri¢hie Ri¢h,"$38,087,756","$38,087,756",100%,-,-
45,It Could Happen to You,"$37,939,757","$37,939,757",100%,-,-
46,Reality Bites,"$33,351,557","$20,982,557",62.9%,"$12,369,000",37.1%
47,I Love Trouble,"$30,806,194","$30,806,194",100%,-,-
48,Major League II,"$30,626,182","$30,626,182",100%,-,-
49,Blank Check,"$30,577,969","$30,577,969",100%,-,-
50,Blown Away,"$30,156,002","$30,156,002",100%,-,-
51,The Getaway,"$30,057,974","$16,094,974",53.5%,"$13,963,000",46.5%
52,A Low Down Dirty Shame,"$29,392,418","$29,392,418",100%,-,-
53,In the Army Now,"$28,881,266","$28,881,266",100%,-,-
54,Drop Zone,"$28,735,315","$28,735,315",100%,-,-
55,The Shawshank Redemption,"$28,428,150","$28,341,469",99.7%,"$86,681",0.3%
56,Guarding Tess,"$27,058,304","$27,058,304",100%,-,-
57,I.Q.,"$26,381,221","$26,381,221",100%,-,-
58,My Father the Hero,"$25,479,558","$25,479,558",100%,-,-
59,Wyatt Earp,"$25,052,000","$25,052,000",100%,-,-
60,Quiz Show,"$24,822,619","$24,822,619",100%,-,-
61,Renaissance Man,"$24,332,324","$24,332,324",100%,-,-
62,Blue Chips,"$23,070,663","$23,070,663",100%,-,-
63,Intersection,"$21,355,893","$21,355,893",100%,-,-
64,The Air Up There,"$21,011,318","$21,011,318",100%,-,-
65,Iron Will,"$21,006,361","$21,006,361",100%,-,-
66,Jason's Lyric,"$20,851,521","$20,851,521",100%,-,-
67,Speechless,"$20,667,959","$20,667,959",100%,-,-
68,The Cowboy Way,"$20,280,016","$20,280,016",100%,-,-
69,"Corrina, Corrina","$20,164,171","$20,164,171",100%,-,-
70,Only You,"$20,059,210","$20,059,210",100%,-,-
71,With Honors,"$20,016,254","$20,016,254",100%,-,-
72,Color of Night,"$19,726,050","$19,726,050",100%,-,-
73,Wes Craven's New Nightmare,"$19,721,741","$18,090,181",91.7%,"$1,631,560",8.3%
74,8 Seconds,"$19,623,396","$19,623,396",100%,-,-
75,Léon: The Professional,"$19,552,639","$19,501,238",99.7%,"$51,401",0.3%
76,Little Giants,"$19,306,362","$19,306,362",100%,-,-
77,House Party 3,"$19,281,235","$19,281,235",100%,-,-
78,Getting Even with Dad,"$18,869,594","$18,869,594",100%,-,-
79,Love Affair,"$18,272,894","$18,272,894",100%,-,-
80,Sugar Hill,"$18,225,518","$18,225,518",100%,-,-
81,Milk Money,"$18,137,661","$18,137,661",100%,-,-
82,My Girl 2,"$17,359,799","$17,359,799",100%,-,-
83,The War,"$16,928,556","$16,928,556",100%,-,-
84,Baby's Day Out,"$16,827,402","$16,827,402",100%,-,-
85,Lightning Jack,"$16,821,273","$16,821,273",100%,-,-
86,Andre,"$16,820,893","$16,820,893",100%,-,-
87,Blink,"$16,696,219","$16,696,219",100%,-,-
88,Terminal Velocity,"$16,487,349","$16,487,349",100%,-,-
89,Monkey Trouble,"$16,453,258","$16,453,258",100%,-,-
90,Above the Rim,"$16,192,320","$16,192,320",100%,-,-
91,The Next Karate Kid,"$15,876,353","$8,914,777",56.2%,"$6,961,576",43.8%
92,No Escape,"$15,339,030","$15,339,030",100%,-,-
93,Bad Girls,"$15,240,435","$15,240,435",100%,-,-
94,The Madness of King George,"$15,238,689","$15,238,689",100%,-,-
95,Threesome,"$14,815,317","$14,815,317",100%,-,-
96,The Pagemaster,"$13,670,688","$13,670,688",100%,-,-
97,Crooklyn,"$13,642,861","$13,642,861",100%,-,-
98,Bullets Over Broadway,"$13,383,747","$13,383,747",100%,-,-
99,Greedy,"$13,137,484","$13,137,484",100%,-,-
100,Little Big League,"$12,267,790","$12,267,790",100%,-,-
101,Hoop Dreams,"$11,830,611","$7,830,611",66.2%,"$4,000,000",33.8%
102,3 Ninjas Kick Back,"$11,798,854","$11,798,854",100%,-,-
103,The Ref,"$11,439,193","$11,439,193",100%,-,-
104,Cops and Robbersons,"$11,391,093","$11,391,093",100%,-,-
105,Thumbelina,"$11,373,501","$11,373,501",100%,-,-
106,Ready to Wear,"$11,300,653","$11,300,653",100%,-,-
107,"The Adventures of Priscilla, Queen of the Desert","$11,220,670","$11,220,670",100%,-,-
108,Camp Nowhere,"$10,475,705","$10,475,705",100%,-,-
109,I'll Do Anything,"$10,424,645","$10,424,645",100%,-,-
110,Martin Lawrence: You So Crazy,"$10,184,701","$10,184,701",100%,-,-
111,Lassie,"$9,979,683","$9,979,683",100%,-,-
112,Immortal Beloved,"$9,914,409","$9,914,409",100%,-,-
113,The Swan Princess,"$9,771,658","$9,771,658",100%,-,-
114,Angie,"$9,398,308","$9,398,308",100%,-,-
115,The Inkwell,"$8,880,705","$8,880,705",100%,-,-
116,White Fang 2: Myth of the White Wolf,"$8,878,839","$8,878,839",100%,-,-
117,The Puppet Masters,"$8,647,042","$8,647,042",100%,-,-
118,Fresh,"$8,094,616","$8,094,616",100%,-,-
119,Blankman,"$7,941,977","$7,941,977",100%,-,-
120,The Chase,"$7,924,955","$7,924,955",100%,-,-
121,Serial Mom,"$7,820,688","$7,820,688",100%,-,-
122,Sirens,"$7,770,731","$7,770,731",100%,-,-
123,Surviving the Game,"$7,727,256","$7,727,256",100%,-,-
124,Clifford,"$7,408,745","$7,408,745",100%,-,-
125,Clean Slate,"$7,355,425","$7,355,425",100%,-,-
126,Eat Drink Man Woman,"$7,294,403","$7,294,403",100%,-,-
127,Barcelona,"$7,266,973","$7,266,973",100%,-,-
128,North,"$7,182,747","$7,182,747",100%,-,-
129,Trial by Jury,"$6,971,777","$6,971,777",100%,-,-
130,Exit to Eden,"$6,841,570","$6,841,570",100%,-,-
131,Mixed Nuts,"$6,821,850","$6,821,850",100%,-,-
132,The Road to Wellville,"$6,562,513","$6,562,513",100%,-,-
133,The House of the Spirits,"$6,265,311","$6,265,311",100%,-,-
134,Widows' Peak,"$6,243,722","$6,243,722",100%,-,-
135,Trapped in Paradise,"$6,017,509","$6,017,509",100%,-,-
136,Ed Wood,"$5,887,457","$5,887,457",100%,-,-
137,The Last Seduction,"$5,842,603","$5,842,603",100%,-,-
138,Airheads,"$5,751,882","$5,751,882",100%,-,-
139,Belle Epoque,"$5,418,216","$5,418,216",100%,-,-
140,Little Buddha,"$4,858,139","$4,858,139",100%,-,-
141,Black Beauty,"$4,630,377","$4,630,377",100%,-,-
142,Wagons East,"$4,412,297","$4,412,297",100%,-,-
143,Brainscan,"$4,352,094","$4,352,094",100%,-,-
144,PCU,"$4,330,020","$4,330,020",100%,-,-
145,Jimmy Hollywood,"$3,783,003","$3,783,003",100%,-,-
146,Cabin Boy,"$3,662,459","$3,662,459",100%,-,-
147,Three Colors: Red,"$3,581,969","$3,581,969",100%,-,-
148,A Simple Twist of Fate,"$3,430,583","$3,430,583",100%,-,-
149,Gunmen,"$3,411,885","$3,411,885",100%,-,-
150,Blue Sky,"$3,359,465","$3,359,465",100%,-,-
151,Squanto: A Warrior's Tale,"$3,342,223","$3,342,223",100%,-,-
152,Romeo Is Bleeding,"$3,275,585","$3,275,585",100%,-,-
153,Mi vida loca,"$3,267,313","$3,267,313",100%,-,-
154,Silent Fall,"$3,180,674","$3,180,674",100%,-,-
155,Clerks,"$3,151,130","$3,151,130",100%,-,-
156,The Favor,"$3,134,381","$3,134,381",100%,-,-
157,Death and the Maiden,"$3,103,716","$3,103,716",100%,-,-
158,Princess Caraboo,"$3,062,530","$3,062,530",100%,-,-
159,Heavenly Creatures,"$3,049,135","$3,049,135",100%,-,-
160,China Moon,"$3,038,499","$3,038,499",100%,-,-
161,The Hudsucker Proxy,"$2,816,518","$2,816,518",100%,-,-
162,The Scout,"$2,694,234","$2,694,234",100%,-,-
163,Red Rock West,"$2,502,551","$2,502,551",100%,-,-
164,Backbeat,"$2,392,589","$2,392,589",100%,-,-
165,Double Dragon,"$2,341,309","$2,341,309",100%,-,-
166,To Live,"$2,332,728","$2,332,728",100%,-,-
167,A Good Man in Africa,"$2,308,390","$2,308,390",100%,-,-
168,Leprechaun 2,"$2,260,622","$2,260,622",100%,-,-
169,The Endless Summer 2,"$2,155,385","$2,155,385",100%,-,-
170,Mrs. Parker and the Vicious Circle,"$2,144,667","$2,144,667",100%,-,-
171,The Princess and the Goblin,"$2,105,078","$2,105,078",100%,-,-
172,Kika,"$2,019,581","$2,019,581",100%,-,-
173,Vertical Reality,"$1,951,429","$1,951,429",100%,-,-
174,Bitter Moon,"$1,862,805","$1,862,805",100%,-,-
175,I Like It Like That,"$1,760,527","$1,760,527",100%,-,-
176,Vanya on 42nd Street,"$1,746,050","$1,746,050",100%,-,-
177,Even Cowgirls Get the Blues,"$1,708,873","$1,708,873",100%,-,-
178,Death Wish V: The Face of Death,"$1,702,394","$1,702,394",100%,-,-
179,The Scent of Green Papaya,"$1,700,992","$1,700,992",100%,-,-
180,Safe Passage,"$1,618,282","$1,618,282",100%,-,-
181,Chasers,"$1,596,687","$1,596,687",100%,-,-
182,Being Human,"$1,519,366","$1,519,366",100%,-,-
183,Spanking the Monkey,"$1,359,736","$1,359,736",100%,-,-
184,Radioland Murders,"$1,316,865","$1,316,865",100%,-,-
185,Queen Margot,"$1,292,232","$1,292,232",100%,-,-
186,"Car 54, Where Are You?","$1,238,080","$1,238,080",100%,-,-
187,Three Colors: White,"$1,237,219","$1,237,219",100%,-,-
188,A Million to Juan,"$1,220,842","$1,220,842",100%,-,-
189,"Ciao, Professore!","$1,113,435","$1,113,435",100%,-,-
190,Naked in New York,"$1,038,959","$1,038,959",100%,-,-
191,Cobb,"$1,007,583","$1,007,583",100%,-,-
192,A Man of No Importance,"$920,916","$920,916",100%,-,-
193,Mother's Boys,"$737,548","$737,548",100%,-,-
194,Drop Squad,"$734,693","$734,693",100%,-,-
195,Holy Matrimony,"$713,234","$713,234",100%,-,-
196,Savage Nights,"$662,341","$662,341",100%,-,-
197,Cronos,"$621,392","$621,392",100%,-,-
198,The Advocate,"$602,329","$602,329",100%,-,-
199,Where the Rivers Flow North,"$595,505","$595,505",100%,-,-
200,Tom & Viv,"$538,534","$538,534",100%,-,-
201,Federal Hill,"$514,775","$514,775",100%,-,-
202,The Browning Version,"$487,391","$487,391",100%,-,-
203,Colonel Chabert,"$464,284","$464,284",100%,-,-
204,"The Wonderful, Horrible Life of Leni Riefenstahl","$449,707","$449,707",100%,-,-
205,Body Snatchers,"$428,868","$428,868",100%,-,-
206,Killing Zoe,"$418,961","$418,961",100%,-,-
207,Golden Gate,"$395,105","$395,105",100%,-,-
208,Nostradamus,"$364,164","$364,164",100%,-,-
209,The Cement Garden,"$322,975","$322,975",100%,-,-
210,Trading Mom,"$319,123","$319,123",100%,-,-
211,The Slingshot,"$308,368","$308,368",100%,-,-
212,Rapa Nui,"$305,070","$305,070",100%,-,-
213,Killer,"$297,415","$297,415",100%,-,-
214,That's Entertainment! III,"$280,163","$280,163",100%,-,-
215,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1994 Re-release,"$275,902","$275,902",100%,-,-
216,Café au lait,"$274,596","$274,596",100%,-,-
217,Dream Lover,"$256,264","$256,264",100%,-,-
218,The New Age,"$245,217","$245,217",100%,-,-
219,Fear of a Black Hat,"$233,824","$233,824",100%,-,-
220,Zero Patience,"$217,300","$217,300",100%,-,-
221,Sleep with Me,"$200,151","$200,151",100%,-,-
222,My Life's in Turnaround,"$163,383","$163,383",100%,-,-
223,Ladybird Ladybird,"$152,457","$152,457",100%,-,-
224,La scorta,"$147,107","$147,107",100%,-,-
225,The Kingdom,"$144,487","$83,381",57.7%,"$61,106",42.3%
226,Police Academy: Mission to Moscow,"$126,247","$126,247",100%,-,-
227,Oleanna,"$124,693","$124,693",100%,-,-
228,There Goes My Baby,"$123,509","$123,509",100%,-,-
229,Totally F***ed Up,"$101,071","$101,071",100%,-,-
230,A Place in the World,"$99,707","$99,707",100%,-,-
231,In Custody,"$92,612","$92,612",100%,-,-
232,Raining Stones,"$89,995","$89,388",99.3%,$607,0.7%
233,Imaginary Crimes,"$89,611","$89,611",100%,-,-
234,Second Best,"$86,115","$86,115",100%,-,-
235,"The Beans of Egypt, Maine","$73,956","$73,956",100%,-,-
236,A Troll in Central Park,"$71,368","$71,368",100%,-,-
237,Freedom on My Mind,"$71,176","$71,176",100%,-,-
238,It Runs in the Family,"$70,936","$70,936",100%,-,-
239,The Secret Adventures of Tom Thumb,"$70,441","$70,441",100%,-,-
240,Silent Tongue,"$61,274","$61,274",100%,-,-
241,It's Pat: The Movie,"$60,822","$60,822",100%,-,-
242,The Making of '...And God Spoke',"$58,484","$58,484",100%,-,-
243,High Lonesome: The Story of Bluegrass Music,"$53,319","$53,319",100%,-,-
244,Frank & Jesse,"$50,004","$50,004",100%,-,-
245,"Paris, France","$44,159","$44,159",100%,-,-
246,Torment,"$39,003","$39,003",100%,-,-
247,Salmonberries,"$37,484","$37,484",100%,-,-
248,Love and a .45,"$35,200","$35,200",100%,-,-
249,L.627,"$28,540","$28,540",100%,-,-
250,American Masters: The Life and Times of Allen Ginsberg,"$22,692","$22,692",100%,-,-
251,Floundering,"$20,031","$20,031",100%,-,-
252,The Secret Rapture,"$18,719","$18,719",100%,-,-
253,Whore 2,"$14,320","$14,320",100%,-,-
254,Pontiac Moon,"$11,669","$11,669",100%,-,-
255,Century,"$7,271","$7,271",100%,-,-
