Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,The Lion King,"$763,455,561","$312,855,561",41%,"$450,600,000",59%
2,Forrest Gump,"$677,387,716","$329,694,499",48.7%,"$347,693,217",51.3%
3,True Lies,"$378,882,411","$146,282,411",38.6%,"$232,600,000",61.4%
4,The Mask,"$351,583,407","$119,938,730",34.1%,"$231,644,677",65.9%
5,Speed,"$350,448,145","$121,248,145",34.6%,"$229,200,000",65.4%
6,The Flintstones,"$341,631,208","$130,531,208",38.2%,"$211,100,000",61.8%
7,Dumb and Dumber,"$247,275,374","$127,175,374",51.4%,"$120,100,000",48.6%
8,Four Weddings and a Funeral,"$245,700,832","$52,700,832",21.4%,"$193,000,000",78.6%
9,Interview with the Vampire: The Vampire Chronicles,"$223,664,608","$105,264,608",47.1%,"$118,400,000",52.9%
10,Clear and Present Danger,"$215,887,717","$122,187,717",56.6%,"$93,700,000",43.4%
11,Disclosure,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%
12,Pulp Fiction,"$213,928,762","$107,928,762",50.5%,"$106,000,000",49.5%
13,Stargate,"$196,567,262","$71,567,262",36.4%,"$125,000,000",63.6%
14,The Santa Clause,"$189,833,357","$144,833,357",76.3%,"$45,000,000",23.7%
15,Maverick,"$183,031,272","$101,631,272",55.5%,"$81,400,000",44.5%
16,The Specialist,"$170,362,582","$57,362,582",33.7%,"$113,000,000",66.3%
17,Legends of the Fall,"$160,638,883","$66,638,883",41.5%,"$94,000,000",58.5%
18,Wolf,"$131,002,597","$65,002,597",49.6%,"$66,000,000",50.4%
19,Beverly Hills Cop III,"$119,208,989","$42,614,912",35.7%,"$76,594,077",64.3%
20,Star Trek: Generations,"$118,071,125","$75,671,125",64.1%,"$42,400,000",35.9%
21,The Client,"$117,615,211","$92,115,211",78.3%,"$25,500,000",21.7%
22,Mary Shelley's Frankenstein,"$112,006,296","$22,006,296",19.6%,"$90,000,000",80.4%
23,Junior,"$108,431,355","$36,763,355",33.9%,"$71,668,000",66.1%
24,Ace Ventura: Pet Detective,"$107,217,396","$72,217,396",67.4%,"$35,000,000",32.6%
25,Nell,"$106,683,817","$33,683,817",31.6%,"$73,000,000",68.4%
26,Timecop,"$101,646,581","$44,853,581",44.1%,"$56,793,000",55.9%
27,Street Fighter,"$99,431,786","$33,423,521",33.6%,"$66,008,265",66.4%
28,The River Wild,"$94,216,343","$46,816,343",49.7%,"$47,400,000",50.3%
29,The Little Rascals,"$67,308,282","$52,125,282",77.4%,"$15,183,000",22.6%
30,Naked Gun 33 1/3: The Final Insult,"$51,132,598","$51,132,598",100%,-,-
31,The Crow,"$50,693,129","$50,693,129",100%,-,-
32,Natural Born Killers,"$50,282,766","$50,282,766",100%,-,-
33,Angels in the Outfield,"$50,236,831","$50,236,831",100%,-,-
