Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Aladdin,"$504,050,219","$217,350,219",43.1%,"$286,700,000",56.9%
2,The Bodyguard,"$410,945,720","$121,945,720",29.7%,"$289,000,000",70.3%
3,Home Alone 2: Lost in New York,"$358,994,850","$173,585,516",48.4%,"$185,409,334",51.6%
4,Basic Instinct,"$352,927,224","$117,727,224",33.4%,"$235,200,000",66.6%
5,Lethal Weapon 3,"$321,731,527","$144,731,527",45%,"$177,000,000",55%
6,Batman Returns,"$266,822,354","$162,831,698",61%,"$103,990,656",39%
7,A Few Good Men,"$243,240,178","$141,340,178",58.1%,"$101,900,000",41.9%
8,Sister Act,"$231,605,150","$139,605,150",60.3%,"$92,000,000",39.7%
9,Bram Stoker's Dracula,"$215,862,692","$82,522,790",38.2%,"$133,339,902",61.8%
10,Wayne's World,"$183,097,323","$121,697,323",66.5%,"$61,400,000",33.5%
11,Patriot Games,"$178,051,587","$83,351,587",46.8%,"$94,700,000",53.2%
12,Alien 3,"$159,814,498","$55,473,545",34.7%,"$104,340,953",65.3%
13,Unforgiven,"$159,157,447","$101,157,447",63.6%,"$58,000,000",36.4%
14,Under Siege,"$156,563,139","$83,563,139",53.4%,"$73,000,000",46.6%
15,Death Becomes Her,"$149,022,650","$58,422,650",39.2%,"$90,600,000",60.8%
16,Beethoven,"$147,214,049","$57,114,049",38.8%,"$90,100,000",61.2%
17,Far and Away,"$137,783,840","$58,883,840",42.7%,"$78,900,000",57.3%
18,Scent of a Woman,"$134,095,253","$63,095,253",47.1%,"$71,000,000",52.9%
19,A League of Their Own,"$132,440,069","$107,533,928",81.2%,"$24,906,141",18.8%
20,Boomerang,"$131,052,444","$70,052,444",53.5%,"$61,000,000",46.5%
21,Forever Young,"$127,956,187","$55,956,187",43.7%,"$72,000,000",56.3%
22,Sneakers,"$105,232,691","$51,432,691",48.9%,"$53,800,000",51.1%
23,HouseSitter,"$94,900,635","$58,500,635",61.6%,"$36,400,000",38.4%
24,White Men Can't Jump,"$90,753,806","$76,253,806",84%,"$14,500,000",16%
25,The Hand That Rocks the Cradle,"$88,036,683","$88,036,683",100%,-,-
26,The Last of the Mohicans,"$75,505,856","$75,505,856",100%,-,-
27,Stop! Or My Mom Will Shoot,"$70,611,210","$28,411,210",40.2%,"$42,200,000",59.8%
28,My Cousin Vinny,"$64,088,552","$52,929,168",82.6%,"$11,159,384",17.4%
29,The Crying Game,"$62,548,947","$62,548,947",100%,-,-
30,"Honey, I Blew Up the Kid","$58,662,452","$58,662,452",100%,-,-
31,Unlawful Entry,"$57,138,719","$57,138,719",100%,-,-
32,Pinocchio 1992 Re-release,"$56,501,437","$18,863,559",33.4%,"$37,637,878",66.6%
33,The Mighty Ducks,"$50,752,337","$50,752,337",100%,-,-
34,Malcolm X,"$48,169,910","$48,169,910",100%,-,-
35,Single White Female,"$48,017,402","$48,017,402",100%,-,-
36,The Distinguished Gentleman,"$46,666,502","$46,666,502",100%,-,-
37,Medicine Man,"$45,500,797","$45,500,797",100%,-,-
38,Passenger 57,"$44,065,653","$44,065,653",100%,-,-
39,Shining Through,"$43,838,238","$21,633,781",49.3%,"$22,204,457",50.7%
40,A River Runs Through It,"$43,440,294","$43,440,294",100%,-,-
41,Encino Man,"$40,693,477","$40,693,477",100%,-,-
42,Mo' Money,"$40,227,006","$40,227,006",100%,-,-
43,Raising Cain,"$37,170,057","$21,370,057",57.5%,"$15,800,000",42.5%
44,Universal Soldier,"$36,299,898","$36,299,898",100%,-,-
45,Honeymoon in Vegas,"$35,208,854","$35,208,854",100%,-,-
46,FernGully: The Last Rainforest,"$32,710,894","$24,650,296",75.4%,"$8,060,598",24.6%
47,The Lawnmower Man,"$32,100,816","$32,100,816",100%,-,-
48,The Muppet Christmas Carol,"$31,879,583","$27,281,507",85.6%,"$4,598,076",14.4%
49,Sleepwalkers,"$30,524,763","$30,524,763",100%,-,-
50,Hoffa,"$29,302,121","$24,276,506",82.8%,"$5,025,615",17.2%
51,3 Ninjas,"$29,000,301","$29,000,301",100%,-,-
52,Final Analysis,"$28,590,665","$28,590,665",100%,-,-
53,Howards End,"$25,966,555","$25,966,555",100%,-,-
54,Candyman,"$25,792,310","$25,792,310",100%,-,-
55,The Cutting Edge,"$25,105,517","$25,105,517",100%,-,-
56,Leap of Faith,"$23,369,283","$23,369,283",100%,-,-
57,Toys,"$23,278,931","$23,278,931",100%,-,-
58,Prelude to a Kiss,"$22,697,691","$20,006,730",88.1%,"$2,690,961",11.9%
59,Thunderheart,"$22,660,758","$22,660,758",100%,-,-
60,Captain Ron,"$22,518,097","$22,518,097",100%,-,-
61,The Player,"$21,706,101","$21,706,101",100%,-,-
62,Consenting Adults,"$21,591,728","$21,591,728",100%,-,-
63,Straight Talk,"$21,202,099","$21,202,099",100%,-,-
64,Kuffs,"$21,142,815","$21,142,815",100%,-,-
65,Mr. Baseball,"$20,883,046","$20,883,046",100%,-,-
66,Juice,"$20,146,880","$20,146,880",100%,-,-
67,The Babe,"$19,930,973","$17,530,973",88%,"$2,400,000",12%
68,Hero,"$19,507,345","$19,507,345",100%,-,-
69,Singles,"$18,471,850","$18,471,850",100%,-,-
70,Used People,"$17,957,265","$17,957,265",100%,-,-
71,Freejack,"$17,129,026","$17,129,026",100%,-,-
72,Pet Sematary II,"$17,092,453","$17,092,453",100%,-,-
73,Deep Cover,"$16,639,799","$16,639,799",100%,-,-
74,Buffy the Vampire Slayer,"$16,624,456","$16,624,456",100%,-,-
75,Pure Country,"$15,164,458","$15,164,458",100%,-,-
76,Ladybugs,"$14,796,494","$14,796,494",100%,-,-
77,School Ties,"$14,715,067","$14,715,067",100%,-,-
78,City of Joy,"$14,683,921","$14,683,921",100%,-,-
79,Memoirs of an Invisible Man,"$14,358,033","$14,358,033",100%,-,-
80,Rapid Fire,"$14,356,479","$14,356,479",100%,-,-
81,Cool World,"$14,110,589","$14,110,589",100%,-,-
82,Mr. Saturday Night,"$13,351,357","$13,351,357",100%,-,-
83,The Great Mouse Detective 1992 Re-release,"$13,288,756","$13,288,756",100%,-,-
84,Class Act,"$13,272,113","$13,272,113",100%,-,-
85,Trespass,"$13,249,535","$13,249,535",100%,-,-
86,Enchanted April,"$13,200,170","$13,200,170",100%,-,-
87,American Me,"$13,086,430","$13,086,430",100%,-,-
88,Hellraiser III: Hell on Earth,"$12,534,961","$12,534,961",100%,-,-
89,A Stranger Among Us,"$12,282,994","$12,282,994",100%,-,-
90,Rock-A-Doodle,"$11,657,385","$11,657,385",100%,-,-
91,Jennifer 8,"$11,390,479","$11,390,479",100%,-,-
92,Whispers in the Dark,"$11,124,511","$11,124,511",100%,-,-
93,Stay Tuned,"$10,736,401","$10,736,401",100%,-,-
94,Glengarry Glen Ross,"$10,725,228","$10,725,228",100%,-,-
95,Husbands and Wives,"$10,555,619","$10,555,619",100%,-,-
96,Chaplin,"$9,493,259","$9,493,259",100%,-,-
97,Gladiator,"$9,223,441","$9,223,441",100%,-,-
98,White Sands,"$9,011,574","$9,011,574",100%,-,-
99,Once Upon a Crime...,"$8,669,847","$8,669,847",100%,-,-
100,Bébé's Kids,"$8,442,162","$8,442,162",100%,-,-
101,Dr. Giggles,"$8,403,433","$8,403,433",100%,-,-
102,Christopher Columbus: The Discovery,"$8,251,071","$8,251,071",100%,-,-
103,Damage,"$7,532,911","$7,532,911",100%,-,-
104,Mississippi Masala,"$7,308,786","$7,308,786",100%,-,-
105,Sarafina!,"$7,306,242","$7,306,242",100%,-,-
106,1492: Conquest of Paradise,"$7,191,399","$7,191,399",100%,-,-
107,The Mambo Kings,"$6,742,168","$6,742,168",100%,-,-
108,Article 99,"$6,375,979","$6,375,979",100%,-,-
109,Night and the City,"$6,202,756","$6,202,756",100%,-,-
110,Folks!,"$6,132,924","$6,132,924",100%,-,-
111,Indochine,"$5,603,158","$5,603,158",100%,-,-
112,Wind,"$5,519,569","$5,519,569",100%,-,-
113,Of Mice and Men,"$5,471,088","$5,471,088",100%,-,-
114,Split Second,"$5,430,822","$5,430,822",100%,-,-
115,The Lover,"$5,013,090","$4,899,194",97.7%,"$113,896",2.3%
116,Innocent Blood,"$4,943,279","$4,943,279",100%,-,-
117,The Playboys,"$4,906,900","$4,906,900",100%,-,-
118,Diggstown,"$4,836,637","$4,836,637",100%,-,-
119,Passion Fish,"$4,814,619","$4,814,619",100%,-,-
120,Radio Flyer,"$4,651,977","$4,651,977",100%,-,-
121,Blade Runner The Final Cut,"$4,642,280","$3,740,330",80.6%,"$901,950",19.4%
122,Mediterraneo,"$4,532,791","$4,532,791",100%,-,-
123,Bob Roberts,"$4,479,470","$4,479,470",100%,-,-
124,Twin Peaks: Fire Walk with Me,"$4,160,851","$4,160,851",100%,-,-
125,Man Trouble,"$4,096,030","$4,096,030",100%,-,-
126,Peter's Friends,"$4,058,564","$4,058,564",100%,-,-
127,Passed Away,"$4,030,793","$4,030,793",100%,-,-
128,The Gun in Betty Lou's Handbag,"$3,721,911","$3,721,911",100%,-,-
129,Traces of Red,"$3,206,714","$3,206,714",100%,-,-
130,K2,"$3,106,559","$3,106,559",100%,-,-
131,Blame It on the Bellboy,"$3,104,545","$3,104,545",100%,-,-
132,Tous les matins du monde,"$3,089,497","$3,089,497",100%,-,-
133,The Public Eye,"$3,067,917","$3,067,917",100%,-,-
134,CrissCross,"$3,052,738","$3,052,738",100%,-,-
135,This Is My Life,"$2,922,094","$2,922,094",100%,-,-
136,Reservoir Dogs,"$2,832,029","$2,832,029",100%,-,-
137,The Power of One,"$2,827,107","$2,827,107",100%,-,-
138,Newsies,"$2,819,485","$2,819,485",100%,-,-
139,Year of the Comet,"$2,791,515","$2,791,515",100%,-,-
140,Shadows and Fog,"$2,735,731","$2,735,731",100%,-,-
141,Raise the Red Lantern,"$2,603,061","$2,603,061",100%,-,-
142,Aces: Iron Eagle III,"$2,517,600","$2,517,600",100%,-,-
143,Flirting,"$2,415,396","$2,415,396",100%,-,-
144,Love Crimes,"$2,287,928","$2,287,928",100%,-,-
145,Noises Off...,"$2,280,148","$2,280,148",100%,-,-
146,A Brief History of Time,"$2,279,692","$2,279,692",100%,-,-
147,Mom and Dad Save the World,"$2,034,470","$2,034,470",100%,-,-
148,Gate 2: The Trespassers,"$2,032,973","$2,032,973",100%,-,-
149,Bad Lieutenant,"$2,019,469","$2,000,022",99%,"$19,447",1%
150,Night on Earth,"$2,015,810","$2,015,810",100%,-,-
151,Poison Ivy,"$1,829,804","$1,829,804",100%,-,-
152,Delicatessen,"$1,794,187","$1,794,187",100%,-,-
153,The Waterdance,"$1,723,319","$1,723,319",100%,-,-
154,Casablanca 1992 Re-release,"$1,719,913","$1,719,913",100%,-,-
155,Out on a Limb,"$1,659,542","$1,659,542",100%,-,-
156,Daughters of the Dust,"$1,642,436","$1,642,436",100%,-,-
157,Zebrahead,"$1,557,771","$1,557,771",100%,-,-
158,One False Move,"$1,543,112","$1,543,112",100%,-,-
159,A Midnight Clear,"$1,526,697","$1,526,697",100%,-,-
160,Leaving Normal,"$1,514,114","$1,514,114",100%,-,-
161,Where Angels Fear to Tread,"$1,403,033","$1,403,033",100%,-,-
162,South Central,"$1,373,196","$1,373,196",100%,-,-
163,Little Nemo: Adventures in Slumberland,"$1,368,000","$1,368,000",100%,-,-
164,Gas Food Lodging,"$1,342,613","$1,342,613",100%,-,-
165,Brother's Keeper,"$1,305,915","$1,305,915",100%,-,-
166,Spike & Mike's Festival of Animation Volume 1,"$1,268,529","$1,268,529",100%,-,-
167,The Best Intentions,"$1,253,106","$1,253,106",100%,-,-
168,Toto the Hero,"$1,228,153","$1,228,153",100%,-,-
169,The Hairdresser's Husband,"$1,217,084","$1,217,084",100%,-,-
170,Freddie as F.R.O.7.,"$1,119,368","$1,119,368",100%,-,-
171,Mistress,"$1,102,469","$1,102,469",100%,-,-
172,Waterland,"$1,100,218","$1,100,218",100%,-,-
173,Steeper & Deeper,"$1,076,685","$1,076,685",100%,-,-
174,Light Sleeper,"$1,055,987","$1,050,861",99.5%,"$5,126",0.5%
175,Europa,"$1,007,001","$1,007,001",100%,-,-
176,35 Up,"$922,872","$922,872",100%,-,-
177,Ruby,"$919,286","$919,286",100%,-,-
178,Brain Donors,"$918,239","$918,239",100%,-,-
179,Rampage,"$796,368","$796,368",100%,-,-
180,Cabeza de Vaca,"$789,127","$789,127",100%,-,-
181,Turtle Beach,"$778,535","$778,535",100%,-,-
182,Love Potion No. 9,"$754,935","$754,935",100%,-,-
183,Edward II,"$694,438","$694,438",100%,-,-
184,The Living End,"$692,585","$692,585",100%,-,-
185,Johnny Stecchino,"$626,057","$626,057",100%,-,-
186,Wild Orchid II: Two Shades of Blue,"$573,904","$573,904",100%,-,-
187,Incident at Oglala,"$536,848","$536,848",100%,-,-
188,Proof,"$524,668","$524,668",100%,-,-
189,Voyager,"$516,517","$516,517",100%,-,-
190,Crossing the Bridge,"$479,676","$479,676",100%,-,-
191,Danzón,"$450,501","$450,501",100%,-,-
192,Storyville,"$422,503","$422,503",100%,-,-
193,The Adjuster,"$396,573","$396,573",100%,-,-
194,Where the Day Takes You,"$390,152","$390,152",100%,-,-
195,Close to Eden,"$377,832","$377,832",100%,-,-
196,Monster in a Box,"$311,245","$311,245",100%,-,-
197,The Panama Deception,"$309,596","$309,596",100%,-,-
198,Hard Promises,"$306,319","$306,319",100%,-,-
199,Becoming Colette,"$272,931","$272,931",100%,-,-
200,Big Girls Don't Cry... They Get Even,"$271,327","$271,327",100%,-,-
201,American Dream,"$269,823","$269,823",100%,-,-
202,In the Soup,"$256,249","$256,249",100%,-,-
203,Falling from Grace,"$231,826","$231,826",100%,-,-
204,Under Suspicion,"$221,295","$221,295",100%,-,-
205,Terminal Bliss,"$215,500","$215,500",100%,-,-
206,Van Gogh,"$193,205","$193,205",100%,-,-
207,"Dancing/The Song of Wolfgang the Intrepid, the Glorious Destroyer of Dragons/A Smaller World/The Green Beret/Weeds/The Tale of Nippoless Nippleby/Office Space/The Boss/Unsavory Avery/Rrring/Pre-Hysterical Daze","$181,273","$181,273",100%,-,-
208,The Efficiency Expert,"$179,469","$179,469",100%,-,-
209,London Kills Me,"$170,667","$170,667",100%,-,-
210,My New Gun,"$169,600","$169,600",100%,-,-
211,Roadside Prophets,"$147,724","$147,724",100%,-,-
212,Simple Men,"$141,554","$141,554",100%,-,-
213,Intervista,"$138,608","$138,608",100%,-,-
214,Shakes the Clown,"$115,103","$115,103",100%,-,-
215,Cold Heaven,"$99,219","$99,219",100%,-,-
216,Johnny Suede,"$90,091","$90,091",100%,-,-
217,Brenda Starr,"$67,878","$67,878",100%,-,-
218,Afraid of the Dark,"$53,932","$53,932",100%,-,-
219,Breaking the Rules,"$52,285","$52,285",100%,-,-
220,Feed,"$45,488","$45,488",100%,-,-
221,Bed & Breakfast,"$44,947","$44,947",100%,-,-
222,Bloodfist III: Forced to Fight,"$35,154","$35,154",100%,-,-
223,Diary of a Hitman,"$31,815","$31,815",100%,-,-
224,Highway to Hell,"$26,055","$26,055",100%,-,-
225,A Fine Romance,"$16,497","$16,497",100%,-,-
226,Jumpin' at the Boneyard,"$15,706","$15,706",100%,-,-
227,Rubin and Ed,"$15,675","$15,675",100%,-,-
228,Drive,"$15,084","$15,084",100%,-,-
229,Oxen,"$14,513","$14,513",100%,-,-
230,Fathers & Sons,"$6,960","$6,960",100%,-,-
231,Night and Day,"$6,397","$6,397",100%,-,-
232,The Vagrant,"$5,900","$5,900",100%,-,-
233,Who Shot Pat?,"$2,343","$2,343",100%,-,-
234,High Strung,$904,$904,100%,-,-
