Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Ghost,"$505,702,588","$217,631,306",43%,"$288,071,282",57%
2,Home Alone,"$476,684,675","$285,761,243",59.9%,"$190,923,432",40.1%
3,Pretty Woman,"$463,406,268","$178,406,268",38.5%,"$285,000,000",61.5%
4,Dances with Wolves,"$424,208,848","$184,208,848",43.4%,"$240,000,000",56.6%
5,Total Recall,"$261,299,840","$119,394,840",45.7%,"$141,905,000",54.3%
6,Back to the Future Part III,"$244,527,583","$87,727,583",35.9%,"$156,800,000",64.1%
7,Die Hard 2,"$240,031,094","$117,540,947",49%,"$122,490,147",51%
8,Presumed Innocent,"$221,303,188","$86,303,188",39%,"$135,000,000",61%
9,Teenage Mutant Ninja Turtles,"$201,965,915","$135,265,915",67%,"$66,700,000",33%
10,Kindergarten Cop,"$201,957,688","$91,457,688",45.3%,"$110,500,000",54.7%
11,The Hunt for Red October,"$200,512,643","$122,012,643",60.9%,"$78,500,000",39.1%
12,Dick Tracy,"$162,738,726","$103,738,726",63.7%,"$59,000,000",36.3%
13,Days of Thunder,"$157,920,733","$82,670,733",52.3%,"$75,250,000",47.7%
14,Another 48 Hrs.,"$153,518,974","$80,818,974",52.6%,"$72,700,000",47.4%
15,Bird on a Wire,"$138,697,012","$70,978,012",51.2%,"$67,719,000",48.8%
16,The Godfather: Part III,"$136,766,062","$66,666,062",48.7%,"$70,100,000",51.3%
17,Rocky V,"$119,946,358","$40,946,358",34.1%,"$79,000,000",65.9%
18,Edward Scissorhands,"$86,024,005","$56,362,352",65.5%,"$29,661,653",34.5%
19,Problem Child,"$72,270,891","$53,470,891",74%,"$18,800,000",26%
20,Three Men and a Little Lady,"$71,609,321","$71,609,321",100%,-,-
21,Flatliners,"$61,489,265","$61,489,265",100%,-,-
22,Misery,"$61,276,872","$61,276,872",100%,-,-
23,Marked for Death,"$57,968,936","$46,044,396",79.4%,"$11,924,540",20.6%
24,Predator 2,"$57,120,318","$30,669,413",53.7%,"$26,450,905",46.3%
25,Arachnophobia,"$53,208,180","$53,208,180",100%,-,-
26,Awakenings,"$52,096,475","$52,096,475",100%,-,-
27,Darkman,"$48,878,502","$33,878,502",69.3%,"$15,000,000",30.7%
28,Look Who's Talking Too,"$47,789,074","$47,789,074",100%,-,-
29,Hard to Kill,"$47,410,827","$47,410,827",100%,-,-
30,Goodfellas,"$46,836,214","$46,836,214",100%,-,-
31,RoboCop 2,"$45,681,173","$45,681,173",100%,-,-
32,Pacific Heights,"$44,926,706","$29,381,956",65.4%,"$15,544,750",34.6%
33,The Jungle Book 1990 Re-release,"$44,645,619","$44,645,619",100%,-,-
34,Young Guns II,"$44,143,410","$44,143,410",100%,-,-
35,Gremlins 2: The New Batch,"$41,482,207","$41,482,207",100%,-,-
36,Joe Versus the Volcano,"$39,404,261","$39,404,261",100%,-,-
37,Postcards from the Edge,"$39,071,603","$39,071,603",100%,-,-
38,The Exorcist III,"$39,024,251","$26,098,824",66.9%,"$12,925,427",33.1%
39,Child's Play 2,"$35,763,605","$28,501,605",79.7%,"$7,262,000",20.3%
40,Mermaids,"$35,419,397","$35,419,397",100%,-,-
41,Air America,"$33,461,269","$31,053,601",92.8%,"$2,407,668",7.2%
42,Green Card,"$29,888,235","$29,888,235",100%,-,-
43,The Rescuers Down Under,"$27,931,461","$27,931,461",100%,-,-
44,Internal Affairs,"$27,734,391","$27,734,391",100%,-,-
45,Cadillac Man,"$27,627,310","$27,627,310",100%,-,-
46,Memphis Belle,"$27,441,977","$27,441,977",100%,-,-
47,House Party,"$26,385,627","$26,385,627",100%,-,-
48,Jacob's Ladder,"$26,118,851","$26,118,851",100%,-,-
49,Ghost Dad,"$25,421,633","$24,707,633",97.2%,"$714,000",2.8%
50,Fantasia 1990 Re-release,"$25,363,371","$25,363,371",100%,-,-
51,Navy Seals,"$25,069,101","$25,069,101",100%,-,-
52,Ernest Goes to Jail,"$25,029,569","$25,029,569",100%,-,-
53,My Blue Heaven,"$23,591,472","$23,591,472",100%,-,-
54,Henry & June,"$23,472,449","$11,567,449",49.3%,"$11,905,000",50.7%
55,The Russia House,"$22,997,992","$22,997,992",100%,-,-
56,The First Power,"$22,424,195","$22,424,195",100%,-,-
57,The Rookie,"$21,633,874","$21,633,874",100%,-,-
58,The Freshman,"$21,460,601","$21,460,601",100%,-,-
59,The Adventures of Ford Fairlane,"$21,413,502","$21,413,502",100%,-,-
60,Quigley Down Under,"$21,413,105","$21,413,105",100%,-,-
61,Madhouse,"$21,036,771","$21,036,771",100%,-,-
62,Hamlet,"$20,710,451","$20,710,451",100%,-,-
63,Jetsons: The Movie,"$20,305,841","$20,305,841",100%,-,-
64,Stella,"$20,240,128","$20,240,128",100%,-,-
65,Taking Care of Business,"$20,005,435","$20,005,435",100%,-,-
66,Betsy's Wedding,"$19,740,070","$19,740,070",100%,-,-
67,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724","$18,115,724",100%,-,-
68,Sibling Rivalry,"$17,854,933","$17,854,933",100%,-,-
69,White Palace,"$17,487,531","$17,487,531",100%,-,-
70,The Guardian,"$17,037,887","$17,037,887",100%,-,-
71,Death Warrant,"$16,853,487","$16,853,487",100%,-,-
72,Tremors,"$16,667,084","$16,667,084",100%,-,-
73,Tales from the Darkside,"$16,324,573","$16,324,573",100%,-,-
74,Men at Work,"$16,247,964","$16,247,964",100%,-,-
75,I Love You to Death,"$16,186,793","$16,186,793",100%,-,-
76,Mo' Better Blues,"$16,153,593","$16,153,593",100%,-,-
77,Avalon,"$15,740,796","$15,740,796",100%,-,-
78,The Bonfire of the Vanities,"$15,691,192","$15,691,192",100%,-,-
79,Revenge,"$15,645,616","$15,645,616",100%,-,-
80,Reversal of Fortune,"$15,445,131","$15,445,131",100%,-,-
81,Mr. Destiny,"$15,379,253","$15,379,253",100%,-,-
82,Spaced Invaders,"$15,369,573","$15,369,573",100%,-,-
83,Quick Change,"$15,260,154","$15,260,154",100%,-,-
84,Fire Birds,"$14,760,451","$14,760,451",100%,-,-
85,Wild at Heart,"$14,560,247","$14,560,247",100%,-,-
86,Lord of the Flies,"$13,985,225","$13,985,225",100%,-,-
87,The Grifters,"$13,446,769","$13,446,769",100%,-,-
88,Crazy People,"$13,236,513","$13,236,513",100%,-,-
89,Bad Influence,"$12,626,043","$12,626,043",100%,-,-
90,Cinema Paradiso,"$11,990,401","$11,990,401",100%,-,-
91,Graveyard Shift,"$11,582,891","$11,582,891",100%,-,-
92,Pump Up the Volume,"$11,541,758","$11,541,758",100%,-,-
93,Opportunity Knocks,"$11,359,129","$11,359,129",100%,-,-
94,Q & A,"$11,207,891","$11,207,891",100%,-,-
95,Wild Orchid,"$11,060,485","$11,060,485",100%,-,-
