Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
38,The Cotton Club,"$25,928,721","$25,928,721",100%,-,-
39,The Muppets Take Manhattan,"$25,534,703","$25,534,703",100%,-,-
40,A Nightmare on Elm Street,"$25,504,513","$25,504,513",100%,-,-
41,The Woman in Red,"$25,308,147","$25,308,147",100%,-,-
42,Moscow on the Hudson,"$25,068,724","$25,068,724",100%,-,-
43,The Flamingo Kid,"$23,859,382","$23,859,382",100%,-,-
44,Sixteen Candles,"$23,686,027","$23,686,027",100%,-,-
45,The Jungle Book 1984 Re-release,"$23,456,945","$23,456,945",100%,-,-
46,Missing in Action,"$22,812,411","$22,812,411",100%,-,-
47,A Soldier's Story,"$21,821,347","$21,821,347",100%,-,-
48,Against All Odds,"$21,689,062","$21,689,062",100%,-,-
49,"Oh, God! You Devil","$21,538,850","$21,538,850",100%,-,-
50,Rhinestone,"$21,435,321","$21,435,321",100%,-,-
51,Weekend Pass,"$21,058,033","$21,058,033",100%,-,-
52,Top Secret!,"$20,458,340","$20,458,340",100%,-,-
53,Hot Dog... The Movie,"$20,307,325","$20,307,325",100%,-,-
54,The NeverEnding Story,"$20,158,808","$20,158,808",100%,-,-
55,Unfaithfully Yours,"$19,928,200","$19,928,200",100%,-,-
56,Best Defense,"$19,265,302","$19,265,302",100%,-,-
57,Blame It on Rio,"$18,644,570","$18,644,570",100%,-,-
58,Lassiter,"$17,513,452","$17,513,452",100%,-,-
59,Angel,"$17,488,564","$17,488,564",100%,-,-
60,Johnny Dangerously,"$17,124,395","$17,124,395",100%,-,-
61,Firestarter,"$17,080,167","$17,080,167",100%,-,-
62,Beat Street,"$16,595,791","$16,595,791",100%,-,-
63,Breakin' 2: Electric Boogaloo,"$15,101,131","$15,101,131",100%,-,-
64,Children of the Corn,"$14,568,989","$14,568,989",100%,-,-
65,Night of the Comet,"$14,418,922","$14,418,922",100%,-,-
66,Supergirl,"$14,296,438","$14,296,438",100%,-,-
67,The Ice Pirates,"$14,255,801","$14,255,801",100%,-,-
68,The Evil That Men Do,"$13,102,025","$13,102,025",100%,-,-
69,Irreconcilable Differences,"$12,414,210","$12,414,210",100%,-,-
70,Dreamscape,"$12,145,169","$12,145,169",100%,-,-
71,Up the Creek,"$11,708,269","$11,708,269",100%,-,-
72,The River,"$11,489,982","$11,489,982",100%,-,-
73,Tank,"$11,302,884","$11,302,884",100%,-,-
74,Falling in Love,"$11,129,057","$11,129,057",100%,-,-
75,Hard to Hold,"$11,113,806","$11,113,806",100%,-,-
76,The Wild Life,"$11,020,375","$11,020,375",100%,-,-
77,Broadway Danny Rose,"$10,600,497","$10,600,497",100%,-,-
78,Where the Boys Are,"$10,530,000","$10,530,000",100%,-,-
79,Thief of Hearts,"$10,435,015","$10,435,015",100%,-,-
80,Terror in the Aisles,"$10,004,817","$10,004,817",100%,-,-
81,Cloak and Dagger,"$9,719,952","$9,719,952",100%,-,-
82,Country,"$9,640,000","$9,640,000",100%,-,-
83,Bolero,"$8,914,881","$8,914,881",100%,-,-
84,Body Double,"$8,801,940","$8,801,940",100%,-,-
85,Oxford Blues,"$8,793,152","$8,793,152",100%,-,-
86,The Bounty,"$8,613,462","$8,613,462",100%,-,-
87,1984,"$8,430,492","$8,430,492",100%,-,-
88,Reckless,"$8,289,916","$8,289,916",100%,-,-
89,The Philadelphia Experiment,"$8,103,330","$8,103,330",100%,-,-
90,Streets of Fire,"$8,089,290","$8,089,290",100%,-,-
91,Just the Way You Are,"$7,889,694","$7,889,694",100%,-,-
92,The Little Drummer Girl,"$7,828,841","$7,828,841",100%,-,-
93,Ninja III: The Domination,"$7,610,785","$7,610,785",100%,-,-
94,Iceman,"$7,343,032","$7,343,032",100%,-,-
95,Hardbodies,"$7,121,719","$7,121,719",100%,-,-
96,Alphabet City,"$7,035,585","$7,035,585",100%,-,-
97,The Pope of Greenwich Village,"$6,836,201","$6,836,201",100%,-,-
98,Runaway,"$6,770,587","$6,770,587",100%,-,-
99,Swing Shift,"$6,650,206","$6,650,206",100%,-,-
100,The Razor's Edge,"$6,551,987","$6,551,987",100%,-,-
101,The Adventures of Buckaroo Banzai Across the 8th Dimension,"$6,254,148","$6,254,148",100%,-,-
102,Firstborn,"$6,250,994","$6,250,994",100%,-,-
103,Racing with the Moon,"$6,045,647","$6,045,647",100%,-,-
104,Sheena,"$5,778,353","$5,778,353",100%,-,-
105,The Lonely Guy,"$5,718,573","$5,718,573",100%,-,-
106,Meatballs Part II,"$5,410,972","$5,410,972",100%,-,-
107,Once Upon a Time in America,"$5,321,508","$5,321,508",100%,-,-
108,Love Letters,"$5,269,990","$5,269,990",100%,-,-
109,The Hotel New Hampshire,"$5,142,858","$5,142,858",100%,-,-
110,American Dreamer,"$5,021,751","$5,021,751",100%,-,-
111,No Small Affair,"$4,994,094","$4,994,094",100%,-,-
112,Stop Making Sense,"$4,949,438","$4,949,438",100%,-,-
113,Harry & Son,"$4,864,980","$4,864,980",100%,-,-
114,"Grandview, U.S.A.","$4,743,119","$4,743,119",100%,-,-
115,C.H.U.D.,"$4,654,423","$4,654,423",100%,-,-
116,Making the Grade,"$4,561,346","$4,561,346",100%,-,-
117,This Is Spinal Tap,"$4,491,645","$4,491,645",100%,-,-
118,Joy of Sex,"$4,463,841","$4,463,841",100%,-,-
119,Mrs. Soffel,"$4,385,312","$4,385,312",100%,-,-
120,Until September,"$4,239,154","$4,239,154",100%,-,-
121,Pete's Dragon 1984 Re-release,"$4,100,000","$4,100,000",100%,-,-
122,Entre Nous,"$3,974,975","$3,974,975",100%,-,-
123,Flashpoint,"$3,854,833","$3,854,833",100%,-,-
124,Cheech & Chong's the Corsican Brothers,"$3,772,785","$3,772,785",100%,-,-
125,Exterminator 2,"$3,739,406","$3,739,406",100%,-,-
126,The Brother from Another Planet,"$3,677,209","$3,677,209",100%,-,-
127,"Careful, He Might Hear You","$2,938,179","$2,938,179",100%,-,-
128,Crimes of Passion,"$2,912,945","$2,912,945",100%,-,-
129,The Warrior and the Sorceress,"$2,886,225","$2,886,225",100%,-,-
130,Phar Lap,"$2,878,404","$2,878,404",100%,-,-
131,Impulse,"$2,773,433","$2,773,433",100%,-,-
132,The Bear,"$2,687,148","$2,687,148",100%,-,-
133,Under the Volcano,"$2,556,800","$2,556,800",100%,-,-
134,"Silent Night, Deadly Night","$2,491,460","$2,491,460",100%,-,-
135,Choose Me,"$2,490,233","$2,490,233",100%,-,-
136,Stranger Than Paradise,"$2,436,000","$2,436,000",100%,-,-
137,A Sunday in the Country,"$2,411,143","$2,411,143",100%,-,-
138,Electric Dreams,"$2,193,612","$2,193,612",100%,-,-
139,"Paris, Texas","$2,181,987","$2,181,987",100%,-,-
140,Purple Hearts,"$2,075,282","$2,075,282",100%,-,-
141,The Buddy System,"$1,820,049","$1,820,049",100%,-,-
142,Body Rock,"$1,689,501","$1,689,501",100%,-,-
143,Misunderstood,"$1,525,532","$1,525,532",100%,-,-
144,Garbo Talks,"$1,493,782","$1,493,782",100%,-,-
145,Finders Keepers,"$1,467,396","$1,467,396",100%,-,-
146,Birdy,"$1,455,045","$1,455,045",100%,-,-
147,Sahara,"$1,402,962","$1,402,962",100%,-,-
148,Gabriela,"$1,318,839","$1,318,839",100%,-,-
149,A Christmas Story 1984 Re-release,"$1,311,065","$1,311,065",100%,-,-
150,The River Rat,"$1,142,944","$1,142,944",100%,-,-
151,Mike's Murder,"$1,059,966","$1,059,966",100%,-,-
152,Comfort and Joy,"$1,057,368","$1,057,368",100%,-,-
153,The Bostonians,"$1,009,700","$1,009,700",100%,-,-
154,The Power,"$929,162","$929,162",100%,-,-
155,Songwriter,"$865,915","$865,915",100%,-,-
156,Scandalous,"$526,805","$526,805",100%,-,-
157,Windy City,"$343,890","$343,890",100%,-,-
158,The Stone Boy,"$261,033","$261,033",100%,-,-
159,Champions,"$200,498","$200,498",100%,-,-
160,Razorback,"$150,140","$150,140",100%,-,-
161,Heartbreakers,"$148,750","$148,750",100%,-,-
162,Crackers,"$129,268","$129,268",100%,-,-
163,Repo Man,"$129,000","$129,000",100%,-,-
164,Eureka,"$123,572","$123,572",100%,-,-
165,Slayground,"$108,128","$108,128",100%,-,-
