Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Indiana Jones and the Temple of Doom,"$333,107,271","$179,870,271",54%,"$153,237,000",46%
2,Beverly Hills Cop,"$316,360,478","$234,760,478",74.2%,"$81,600,000",25.8%
3,Ghostbusters,"$282,242,989","$229,242,989",81.2%,"$53,000,000",18.8%
4,Gremlins,"$148,168,459","$148,168,459",100%,-,-
5,The Karate Kid,"$90,815,558","$90,815,558",100%,-,-
6,Romancing the Stone,"$86,572,238","$76,572,238",88.4%,"$10,000,000",11.6%
7,Police Academy,"$81,198,894","$81,198,894",100%,-,-
8,Footloose,"$80,035,402","$80,035,402",100%,-,-
9,The Terminator,"$78,371,200","$38,371,200",49%,"$40,000,000",51%
10,Star Trek III: The Search for Spock,"$76,471,046","$76,471,046",100%,-,-
11,Splash,"$69,821,334","$69,821,334",100%,-,-
12,Purple Rain,"$68,392,977","$68,392,977",100%,-,-
13,Amadeus,"$51,564,280","$51,564,280",100%,-,-
14,Tightrope,"$48,143,579","$48,143,579",100%,-,-
15,The Natural,"$47,951,979","$47,951,979",100%,-,-
16,Greystoke,"$45,858,563","$45,858,563",100%,-,-
17,Revenge of the Nerds,"$40,874,452","$40,874,452",100%,-,-
18,2010,"$40,400,657","$40,400,657",100%,-,-
19,Breakin',"$38,682,707","$38,682,707",100%,-,-
20,Bachelor Party,"$38,435,947","$38,435,947",100%,-,-
21,Red Dawn,"$38,376,497","$38,376,497",100%,-,-
22,City Heat,"$38,348,988","$38,348,988",100%,-,-
23,All of Me,"$36,403,064","$36,403,064",100%,-,-
24,Places in the Heart,"$34,901,614","$34,901,614",100%,-,-
25,The Killing Fields,"$34,700,291","$34,700,291",100%,-,-
26,Friday the 13th: The Final Chapter,"$32,980,880","$32,980,880",100%,-,-
27,Conan the Destroyer,"$31,042,035","$31,042,035",100%,-,-
28,Dune,"$30,925,690","$30,925,690",100%,-,-
29,The Gods Must Be Crazy,"$30,031,783","$30,031,783",100%,-,-
30,Starman,"$28,744,356","$28,744,356",100%,-,-
31,The Last Starfighter,"$28,733,290","$28,733,290",100%,-,-
32,Cannonball Run II,"$28,078,073","$28,078,073",100%,-,-
33,Teachers,"$27,774,237","$27,774,237",100%,-,-
34,A Passage to India,"$27,187,653","$27,187,653",100%,-,-
35,Pinocchio 1984 Re-release,"$26,414,038","$26,414,038",100%,-,-
36,Protocol,"$26,186,631","$26,186,631",100%,-,-
37,Micki + Maude,"$26,080,861","$26,080,861",100%,-,-
