Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
86,The Perfect Weapon,"$14,061,361","$14,061,361",100%,-,-
87,Drop Dead Fred,"$13,878,334","$13,878,334",100%,-,-
88,The Marrying Man,"$12,454,768","$12,454,768",100%,-,-
89,Shattered,"$11,511,031","$11,511,031",100%,-,-
90,Career Opportunities,"$11,336,986","$11,336,986",100%,-,-
91,One Good Cop,"$11,276,846","$11,276,846",100%,-,-
92,V.I. Warshawski,"$11,128,309","$11,128,309",100%,-,-
93,The Super,"$11,000,863","$11,000,863",100%,-,-
94,A Rage in Harlem,"$10,438,504","$10,438,504",100%,-,-
95,"He Said, She Said","$9,804,775","$9,804,775",100%,-,-
96,The Butcher's Wife,"$9,689,816","$9,689,816",100%,-,-
97,Scenes from a Mall,"$9,563,393","$9,563,393",100%,-,-
98,Guilty by Suspicion,"$9,480,198","$9,480,198",100%,-,-
99,Body Parts,"$9,188,150","$9,188,150",100%,-,-
100,Stone Cold,"$9,151,887","$9,151,887",100%,-,-
101,Warlock,"$9,094,451","$9,094,451",100%,-,-
102,Late for Dinner,"$8,906,823","$8,906,823",100%,-,-
103,The Five Heartbeats,"$8,750,400","$8,750,400",100%,-,-
104,Bingo,"$8,667,684","$8,667,684",100%,-,-
105,Nothing But Trouble,"$8,479,793","$8,479,793",100%,-,-
106,Black Robe,"$8,211,952","$8,211,952",100%,-,-
107,If Looks Could Kill,"$7,788,597","$7,788,597",100%,-,-
108,Strictly Business,"$7,683,267","$7,683,267",100%,-,-
109,Harley Davidson and the Marlboro Man,"$7,434,726","$7,434,726",100%,-,-
110,Wild Hearts Can't Be Broken,"$7,294,835","$7,294,835",100%,-,-
111,Rush,"$7,241,350","$7,241,350",100%,-,-
112,Suburban Commando,"$6,948,859","$6,948,859",100%,-,-
113,Defenseless,"$6,413,375","$6,413,375",100%,-,-
114,My Own Private Idaho,"$6,401,336","$6,401,336",100%,-,-
115,Rambling Rose,"$6,266,621","$6,266,621",100%,-,-
116,Mystery Date,"$6,166,819","$6,166,819",100%,-,-
117,Barton Fink,"$6,153,939","$6,153,939",100%,-,-
118,Europa Europa,"$5,575,738","$5,575,738",100%,-,-
119,Delirious,"$5,546,827","$5,546,827",100%,-,-
120,Livin' Large!,"$5,467,959","$5,467,959",100%,-,-
121,Eve of Destruction,"$5,451,119","$5,451,119",100%,-,-
122,The Object of Beauty,"$5,136,759","$5,136,759",100%,-,-
123,La Femme Nikita,"$5,017,971","$5,017,971",100%,-,-
124,True Identity,"$4,693,236","$4,693,236",100%,-,-
125,The Hitman,"$4,654,288","$4,654,288",100%,-,-
126,Dutch,"$4,603,929","$4,603,929",100%,-,-
127,Run,"$4,409,328","$4,409,328",100%,-,-
128,Hear My Song,"$4,313,473","$4,313,473",100%,-,-
129,Popcorn,"$4,205,000","$4,205,000",100%,-,-
130,Life Stinks,"$4,102,526","$4,102,526",100%,-,-
131,Impromptu,"$4,076,211","$4,076,211",100%,-,-
132,Paris Is Burning,"$3,779,620","$3,779,620",100%,-,-
133,Mannequin: On the Move,"$3,752,428","$3,752,428",100%,-,-
134,My Heroes Have Always Been Cowboys,"$3,603,615","$3,603,615",100%,-,-
135,Shout,"$3,547,684","$3,547,684",100%,-,-
136,Homicide,"$2,971,661","$2,971,661",100%,-,-
137,Another You,"$2,865,916","$2,865,916",100%,-,-
138,The Man in the Moon,"$2,853,801","$2,853,801",100%,-,-
139,Return to the Blue Lagoon,"$2,807,854","$2,807,854",100%,-,-
140,Straight Out of Brooklyn,"$2,712,293","$2,712,293",100%,-,-
141,Naked Lunch,"$2,641,357","$2,641,357",100%,-,-
142,Showdown in Little Tokyo,"$2,275,557","$2,275,557",100%,-,-
143,29th Street,"$2,120,564","$2,120,564",100%,-,-
144,Cadence,"$2,070,871","$2,070,871",100%,-,-
145,The Double Life of Véronique,"$2,002,966","$1,999,955",99.8%,"$3,011",0.2%
146,Ju Dou,"$1,986,433","$1,986,433",100%,-,-
147,Madame Bovary,"$1,942,423","$1,942,423",100%,-,-
148,Spartacus 1991 Re-release,"$1,830,650","$1,830,650",100%,-,-
149,Prospero's Books,"$1,750,301","$1,750,301",100%,-,-
150,Everybody's Fine,"$1,745,470","$1,745,470",100%,-,-
151,My Father's Glory,"$1,730,856","$1,730,856",100%,-,-
152,High Heels,"$1,710,057","$1,710,057",100%,-,-
153,Citizen Kane 1991 Re-release,"$1,585,634","$1,585,634",100%,-,-
154,Truly Madly Deeply,"$1,554,742","$1,554,742",100%,-,-
155,Life Is Sweet,"$1,516,414","$1,516,414",100%,-,-
156,Company Business,"$1,501,785","$1,501,785",100%,-,-
157,My Mother's Castle,"$1,477,071","$1,477,071",100%,-,-
158,Mister Johnson,"$1,464,242","$1,464,242",100%,-,-
159,Book of Love,"$1,382,259","$1,382,259",100%,-,-
160,At Play in the Fields of the Lord,"$1,345,903","$1,345,903",100%,-,-
161,City of Hope,"$1,345,015","$1,345,015",100%,-,-
162,Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449","$1,318,449",100%,-,-
163,The Rapture,"$1,277,404","$1,277,404",100%,-,-
164,Kickboxer 2: The Road Back,"$1,250,712","$1,250,712",100%,-,-
165,The Comfort of Strangers,"$1,244,381","$1,244,381",100%,-,-
166,Slacker,"$1,228,108","$1,228,108",100%,-,-
167,Cool as Ice,"$1,193,062","$1,193,062",100%,-,-
168,Year of the Gun,"$1,182,273","$1,182,273",100%,-,-
169,The Unborn,"$1,159,578","$1,159,578",100%,-,-
170,Daddy Nostalgia,"$1,108,429","$1,108,429",100%,-,-
171,Kafka,"$1,059,071","$1,059,071",100%,-,-
172,An Angel at My Table,"$1,054,638","$1,054,638",100%,-,-
173,Whore,"$1,008,404","$1,008,404",100%,-,-
174,Screenplay: Antonia and Jane,"$1,002,078","$1,002,078",100%,-,-
175,Meeting Venus,"$1,000,348","$1,000,348",100%,-,-
176,Talkin' Dirty After Dark,"$978,775","$978,775",100%,-,-
177,The Taking of Beverly Hills,"$939,277","$939,277",100%,-,-
178,Beastmaster 2: Through the Portal of Time,"$869,325","$869,325",100%,-,-
179,The 23rd Tournee of Animation,"$862,309","$862,309",100%,-,-
180,The Miracle,"$835,519","$835,519",100%,-,-
181,Until the End of the World,"$829,625","$829,625",100%,-,-
182,Poison,"$787,280","$787,280",100%,-,-
183,Mindwalk,"$774,048","$774,048",100%,-,-
184,The Story of Boys & Girls,"$741,221","$741,221",100%,-,-
185,Rosencrantz & Guildenstern Are Dead,"$739,104","$739,104",100%,-,-
186,The British Invasion Returns,"$729,102","$729,102",100%,-,-
187,Thousand Pieces of Gold,"$717,772","$717,772",100%,-,-
188,Dice Rules,"$637,327","$637,327",100%,-,-
189,Queens Logic,"$612,781","$612,781",100%,-,-
190,Auntie Danielle,"$604,624","$604,624",100%,-,-
191,The Pope Must Diet,"$582,510","$582,510",100%,-,-
192,The Search for Signs of Intelligent Life in the Universe,"$579,854","$579,854",100%,-,-
193,Rich Girl,"$561,000","$561,000",100%,-,-
194,Hangin' with the Homeboys,"$532,933","$532,933",100%,-,-
195,"Sex, Drugs, Rock & Roll","$530,392","$530,392",100%,-,-
196,Rhapsody in August,"$516,431","$516,431",100%,-,-
197,Meet the Applegates,"$485,772","$485,772",100%,-,-
198,McBain,"$456,127","$456,127",100%,-,-
199,Drowning by Numbers,"$424,773","$424,773",100%,-,-
200,True Colors,"$418,807","$418,807",100%,-,-
201,La Belle Noiseuse,"$399,516","$399,516",100%,-,-
202,Dogfight,"$394,631","$394,631",100%,-,-
203,Sweet Talker,"$382,510","$382,510",100%,-,-
204,American Ninja 4: The Annihilation,"$358,047","$358,047",100%,-,-
205,Trust,"$356,122","$356,122",100%,-,-
206,Iron & Silk,"$356,077","$356,077",100%,-,-
207,Two Evil Eyes,"$349,618","$349,618",100%,-,-
208,Dark Obsession,"$336,811","$336,811",100%,-,-
209,Talent for the Game,"$336,396","$336,396",100%,-,-
210,Pastime,"$267,265","$267,265",100%,-,-
211,Journey of Hope,"$261,718","$261,718",100%,-,-
212,Closet Land,"$259,012","$259,012",100%,-,-
213,Twenty-One,"$256,521","$256,521",100%,-,-
214,The National Film Board of Canada's Animation Festival,"$249,167","$249,167",100%,-,-
215,Stepping Out,"$246,000","$246,000",100%,-,-
216,Young Soul Rebels,"$225,664","$225,664",100%,-,-
217,The Indian Runner,"$191,125","$191,125",100%,-,-
218,The Ballad of the Sad Cafe,"$184,890","$184,890",100%,-,-
219,Bright Angel,"$158,243","$158,243",100%,-,-
220,Men of Respect,"$139,155","$139,155",100%,-,-
221,Close My Eyes,"$135,893","$135,893",100%,-,-
222,Liebestraum,"$133,645","$133,645",100%,-,-
223,Open Doors,"$123,470","$123,470",100%,-,-
224,The Inner Circle,"$93,292","$93,292",100%,-,-
225,Let Him Have It,"$88,686","$88,686",100%,-,-
226,Naked Tango,"$81,777","$81,777",100%,-,-
227,Crossing the Line,"$59,227","$59,227",100%,-,-
228,Shadow of China,"$55,166","$55,166",100%,-,-
229,Prisoners of the Sun,"$52,654","$52,654",100%,-,-
230,Crooked Hearts,"$30,964","$30,964",100%,-,-
231,The Dark Backward,"$28,654","$28,654",100%,-,-
232,Lyrisch nitraat,"$26,662","$26,662",100%,-,-
233,Opening Night,"$23,488","$23,488",100%,-,-
234,Ski School,"$18,476","$18,476",100%,-,-
235,The Reflecting Skin,"$17,042","$17,042",100%,-,-
236,Convicts,"$13,623","$13,623",100%,-,-
237,Robot Carnival,"$10,642","$10,642",100%,-,-
238,Blood and Concrete,"$8,780","$8,780",100%,-,-
239,Paper Mask,"$7,991","$7,991",100%,-,-
240,Resident Alien,"$7,867","$7,867",100%,-,-
241,December,"$5,868","$5,868",100%,-,-
242,Inspecteur Lavardin,"$2,685","$2,685",100%,-,-
243,Scissors,"$2,368","$2,368",100%,-,-
244,Cheap Shots,"$2,323","$2,323",100%,-,-
