Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Rain Man,"$354,825,435","$172,825,435",48.7%,"$182,000,000",51.3%
2,Who Framed Roger Rabbit,"$329,803,958","$156,452,370",47.4%,"$173,351,588",52.6%
3,Coming to America,"$288,752,301","$128,152,301",44.4%,"$160,600,000",55.6%
4,Crocodile Dundee II,"$239,606,210","$109,306,210",45.6%,"$130,300,000",54.4%
5,Dead Poets Society,"$235,860,116","$95,860,116",40.6%,"$140,000,000",59.4%
6,Twins,"$216,614,388","$111,938,388",51.7%,"$104,676,000",48.3%
7,Rambo III,"$189,015,611","$53,715,611",28.4%,"$135,300,000",71.6%
8,Cocktail,"$171,504,781","$78,222,753",45.6%,"$93,282,028",54.4%
9,Big,"$151,668,774","$114,968,774",75.8%,"$36,700,000",24.2%
10,Die Hard,"$140,767,956","$83,008,852",59%,"$57,759,104",41%
11,Working Girl,"$102,953,112","$63,779,477",62%,"$39,173,635",38%
12,The Land Before Time,"$84,460,846","$48,092,846",56.9%,"$36,368,000",43.1%
13,Midnight Run,"$81,613,606","$38,413,606",47.1%,"$43,200,000",52.9%
14,The Naked Gun: From the Files of Police Squad!,"$78,756,177","$78,756,177",100%,-,-
15,Beetlejuice,"$73,707,461","$73,707,461",100%,-,-
16,A Fish Called Wanda,"$62,493,712","$62,493,712",100%,-,-
17,Gorillas in the Mist,"$61,149,479","$24,720,479",40.4%,"$36,429,000",59.6%
18,Scrooged,"$60,328,558","$60,328,558",100%,-,-
19,Willow,"$57,269,863","$57,269,863",100%,-,-
20,Beaches,"$57,041,866","$57,041,866",100%,-,-
21,Oliver & Company,"$53,279,055","$53,279,055",100%,-,-
22,Biloxi Blues,"$51,684,798","$43,184,798",83.6%,"$8,500,000",16.4%
23,Bull Durham,"$50,888,729","$50,888,729",100%,-,-
24,A Nightmare on Elm Street 4: The Dream Master,"$49,369,899","$49,369,899",100%,-,-
25,Colors,"$46,616,067","$46,616,067",100%,-,-
26,Young Guns,"$45,661,556","$45,661,556",100%,-,-
27,Child's Play,"$44,196,684","$33,244,684",75.2%,"$10,952,000",24.8%
28,The Great Outdoors,"$43,455,230","$41,455,230",95.4%,"$2,000,000",4.6%
29,Dirty Rotten Scoundrels,"$42,039,085","$42,039,085",100%,-,-
30,Tequila Sunrise,"$41,292,551","$41,292,551",100%,-,-
31,Big Business,"$40,150,487","$40,150,487",100%,-,-
32,Bambi 1988 Re-release,"$39,047,150","$39,047,150",100%,-,-
33,The Dead Pool,"$37,903,295","$37,903,295",100%,-,-
34,Red Heat,"$34,994,648","$34,994,648",100%,-,-
35,Dangerous Liaisons,"$34,670,720","$34,670,720",100%,-,-
36,Mississippi Burning,"$34,603,943","$34,603,943",100%,-,-
37,The Accidental Tourist,"$32,632,093","$32,632,093",100%,-,-
38,Alien Nation,"$32,155,047","$25,216,243",78.4%,"$6,938,804",21.6%
39,The Accused,"$32,078,318","$32,078,318",100%,-,-
40,Shoot to Kill,"$29,300,090","$29,300,090",100%,-,-
41,Ernest Saves Christmas,"$28,202,109","$28,202,109",100%,-,-
42,Betrayed,"$25,816,139","$25,816,139",100%,-,-
43,Funny Farm,"$25,537,221","$25,537,221",100%,-,-
44,Cocoon: The Return,"$25,024,919","$18,924,919",75.6%,"$6,100,000",24.4%
45,The Fox and the Hound 1988 Re-release,"$23,556,988","$23,556,988",100%,-,-
46,License to Drive,"$22,433,275","$22,433,275",100%,-,-
47,Short Circuit 2,"$21,630,088","$21,630,088",100%,-,-
48,Married to the Mob,"$21,486,757","$21,486,757",100%,-,-
49,Punchline,"$21,042,667","$21,042,667",100%,-,-
50,The Presidio,"$20,324,096","$20,324,096",100%,-,-
51,Action Jackson,"$20,256,975","$20,256,975",100%,-,-
52,Tucker: The Man and His Dream,"$19,652,638","$19,652,638",100%,-,-
53,The Serpent and the Rainbow,"$19,595,031","$19,595,031",100%,-,-
54,Police Academy 5: Assignment: Miami Beach,"$19,510,371","$19,510,371",100%,-,-
55,Friday the 13th Part VII: The New Blood,"$19,170,001","$19,170,001",100%,-,-
56,The Seventh Sign,"$18,875,011","$18,875,011",100%,-,-
57,Above the Law,"$18,869,631","$18,869,631",100%,-,-
58,Halloween 4: The Return of Michael Myers,"$17,768,757","$17,768,757",100%,-,-
59,Frantic,"$17,637,950","$17,637,950",100%,-,-
60,Johnny Be Good,"$17,550,399","$17,550,399",100%,-,-
61,For Keeps?,"$17,514,553","$17,514,553",100%,-,-
62,Crossing Delancey,"$16,262,415","$16,262,415",100%,-,-
63,"Bright Lights, Big City","$16,118,077","$16,118,077",100%,-,-
64,She's Having a Baby,"$16,031,707","$16,031,707",100%,-,-
65,Masquerade,"$15,855,828","$15,855,828",100%,-,-
66,Big Top Pee-wee,"$15,122,324","$15,122,324",100%,-,-
67,Arthur 2: On the Rocks,"$14,681,192","$14,681,192",100%,-,-
68,School Daze,"$14,545,844","$14,545,844",100%,-,-
69,Poltergeist III,"$14,114,488","$14,114,488",100%,-,-
70,Stand and Deliver,"$13,994,920","$13,994,920",100%,-,-
71,My Stepmother Is an Alien,"$13,854,000","$13,854,000",100%,-,-
72,The Milagro Beanfield War,"$13,825,794","$13,825,794",100%,-,-
73,Return to Snowy River,"$13,687,027","$13,687,027",100%,-,-
74,Vice Versa,"$13,664,060","$13,664,060",100%,-,-
75,I'm Gonna Git You Sucka,"$13,030,057","$13,030,057",100%,-,-
76,They Live,"$13,008,928","$13,008,928",100%,-,-
77,Mystic Pizza,"$12,793,213","$12,793,213",100%,-,-
78,D.O.A.,"$12,706,478","$12,706,478",100%,-,-
79,Everybody's All-American,"$12,638,294","$12,638,294",100%,-,-
80,Casual Sex?,"$12,277,096","$12,277,096",100%,-,-
81,Hellbound: Hellraiser II,"$12,090,735","$12,090,735",100%,-,-
82,Bloodsport,"$11,806,119","$11,806,119",100%,-,-
83,Caddyshack II,"$11,798,302","$11,798,302",100%,-,-
84,Moon Over Parador,"$11,444,204","$11,444,204",100%,-,-
85,The Couch Trip,"$11,005,304","$11,005,304",100%,-,-
86,Moving,"$10,815,378","$10,815,378",100%,-,-
87,Iron Eagle II,"$10,497,324","$10,497,324",100%,-,-
88,Shakedown,"$10,068,039","$10,068,039",100%,-,-
89,The Unbearable Lightness of Being,"$10,006,806","$10,006,806",100%,-,-
90,Bad Dreams,"$9,797,098","$9,797,098",100%,-,-
91,Return of the Living Dead II,"$9,205,924","$9,205,924",100%,-,-
92,Switching Channels,"$9,129,999","$9,129,999",100%,-,-
93,Salsa,"$8,892,589","$8,892,589",100%,-,-
94,Clean and Sober,"$8,674,093","$8,674,093",100%,-,-
95,U2: Rattle and Hum,"$8,600,823","$8,600,823",100%,-,-
96,High Spirits,"$8,578,231","$8,578,231",100%,-,-
97,Without a Clue,"$8,539,181","$8,539,181",100%,-,-
98,The Last Temptation of Christ,"$8,373,585","$8,373,585",100%,-,-
99,Satisfaction,"$8,253,123","$8,253,123",100%,-,-
100,The Blob,"$8,247,943","$8,247,943",100%,-,-
101,Dead Ringers,"$8,038,508","$8,038,508",100%,-,-
102,A New Life,"$7,721,852","$7,721,852",100%,-,-
103,Stealing Home,"$7,467,504","$7,467,504",100%,-,-
104,Phantasm II,"$7,282,851","$7,282,851",100%,-,-
105,Off Limits,"$7,242,035","$7,242,035",100%,-,-
106,Women on the Verge of a Nervous Breakdown,"$7,179,298","$7,179,298",100%,-,-
107,A Cry in the Dark,"$6,908,797","$6,908,797",100%,-,-
108,Hairspray,"$6,671,108","$6,671,108",100%,-,-
109,Fresh Horses,"$6,640,346","$6,640,346",100%,-,-
110,Hot to Trot,"$6,436,211","$6,436,211",100%,-,-
111,Mac and Me,"$6,424,112","$6,424,112",100%,-,-
112,The Unholy,"$6,337,299","$6,337,299",100%,-,-
113,A Night in the Life of Jimmy Reardon,"$6,264,058","$6,264,058",100%,-,-
114,Braddock: Missing in Action III,"$6,193,901","$6,193,901",100%,-,-
115,1969,"$5,979,011","$5,979,011",100%,-,-
116,The Rescue,"$5,855,392","$5,855,392",100%,-,-
117,Eight Men Out,"$5,680,515","$5,680,515",100%,-,-
