Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,E.T. the Extra-Terrestrial,"$663,400,925","$359,197,037",54.1%,"$304,203,888",45.9%
2,Tootsie,"$177,200,000","$177,200,000",100%,-,-
3,An Officer and a Gentleman,"$129,795,554","$129,795,554",100%,-,-
4,First Blood,"$125,212,904","$47,212,904",37.7%,"$78,000,000",62.3%
5,Rocky III,"$124,146,897","$124,146,897",100%,-,-
6,Porky's,"$105,492,483","$105,492,483",100%,-,-
7,Star Trek II: The Wrath of Khan,"$78,912,963","$78,912,963",100%,-,-
8,48 Hrs.,"$78,868,508","$78,868,508",100%,-,-
9,Poltergeist,"$76,606,280","$76,606,280",100%,-,-
10,The Best Little Whorehouse in Texas,"$69,701,637","$69,701,637",100%,-,-
11,Conan the Barbarian,"$68,851,475","$39,565,475",57.5%,"$29,286,000",42.5%
12,Annie,"$57,059,003","$57,059,003",100%,-,-
13,The Verdict,"$53,977,250","$53,977,250",100%,-,-
14,Gandhi,"$52,767,889","$52,767,889",100%,-,-
15,The Toy,"$47,118,057","$47,118,057",100%,-,-
16,Firefox,"$46,708,276","$46,708,276",100%,-,-
17,The Dark Crystal,"$40,577,001","$40,577,001",100%,-,-
18,The Sword and the Sorcerer,"$39,103,425","$39,103,425",100%,-,-
19,Best Friends,"$36,821,203","$36,821,203",100%,-,-
20,Richard Pryor: Live on the Sunset Strip,"$36,299,720","$36,299,720",100%,-,-
21,Friday the 13th Part III,"$34,581,519","$34,581,519",100%,-,-
22,TRON,"$33,000,000","$33,000,000",100%,-,-
23,Young Doctors in Love,"$30,688,860","$30,688,860",100%,-,-
24,Sophie's Choice,"$30,036,000","$30,036,000",100%,-,-
25,The World According to Garp,"$29,712,172","$29,712,172",100%,-,-
26,Victor Victoria,"$28,215,453","$28,215,453",100%,-,-
27,Blade Runner,"$27,615,743","$27,580,111",99.9%,"$35,632",0.1%
28,Airplane II: The Sequel,"$27,150,534","$27,150,534",100%,-,-
29,Fast Times at Ridgemont High,"$27,092,880","$27,092,880",100%,-,-
30,Some Kind of Hero,"$23,671,186","$23,671,186",100%,-,-
31,Mad Max 2: The Road Warrior,"$23,667,907","$23,667,907",100%,-,-
32,Bambi 1982 Re-release,"$23,000,000","$23,000,000",100%,-,-
33,Pink Floyd: The Wall,"$22,244,207","$22,244,207",100%,-,-
34,Raiders of the Lost Ark 1982 Re-release,"$21,437,879","$21,437,879",100%,-,-
35,Things Are Tough All Over,"$21,134,374","$21,134,374",100%,-,-
36,Night Shift,"$21,095,638","$21,095,638",100%,-,-
37,Creepshow,"$21,028,755","$21,028,755",100%,-,-
38,Quest for Fire,"$20,959,585","$20,959,585",100%,-,-
39,The Man from Snowy River,"$20,659,423","$20,659,423",100%,-,-
40,Six Pack,"$20,225,989","$20,225,989",100%,-,-
41,My Favorite Year,"$20,123,620","$20,123,620",100%,-,-
42,The Thing,"$19,629,760","$19,629,760",100%,-,-
43,Deathtrap,"$19,282,134","$19,282,134",100%,-,-
44,Dead Men Don't Wear Plaid,"$18,196,170","$18,196,170",100%,-,-
45,Peter Pan 1982 Re-release,"$17,200,000","$17,200,000",100%,-,-
46,Zapped!,"$16,897,768","$16,897,768",100%,-,-
47,They Call Me Bruce,"$16,894,678","$16,894,678",100%,-,-
48,Death Wish II,"$16,100,000","$16,100,000",100%,-,-
49,Kiss Me Goodbye,"$15,782,759","$15,782,759",100%,-,-
50,Star Wars: Episode IV - A New Hope 1982 Re-release,"$15,476,785","$15,476,785",100%,-,-
51,Grease 2,"$15,171,476","$15,171,476",100%,-,-
52,The Secret of NIMH,"$14,665,733","$14,665,733",100%,-,-
53,Halloween III: Season of the Witch,"$14,400,000","$14,400,000",100%,-,-
54,Diner,"$14,099,953","$14,099,953",100%,-,-
55,The Beastmaster,"$14,056,528","$14,056,528",100%,-,-
56,Missing,"$14,000,000","$14,000,000",100%,-,-
57,Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,"$13,276,241","$13,276,241",100%,-,-
58,Visiting Hours,"$13,258,670","$13,258,670",100%,-,-
59,Vice Squad,"$13,253,583","$13,253,583",100%,-,-
60,Author! Author!,"$13,111,101","$13,111,101",100%,-,-
61,Amityville II: The Possession,"$12,534,817","$12,534,817",100%,-,-
62,Monsignor,"$12,408,066","$12,408,066",100%,-,-
63,Making Love,"$11,897,978","$11,897,978",100%,-,-
64,The Seduction,"$11,378,339","$11,378,339",100%,-,-
65,Das Boot,"$10,915,250","$10,915,250",100%,-,-
66,Silent Rage,"$10,490,791","$10,490,791",100%,-,-
67,Savannah Smiles,"$10,413,170","$10,413,170",100%,-,-
68,Class Reunion,"$10,054,150","$10,054,150",100%,-,-
69,Hanky Panky,"$9,823,934","$9,823,934",100%,-,-
70,Shoot the Moon,"$9,217,530","$9,217,530",100%,-,-
71,A Midsummer Night's Sex Comedy,"$9,077,269","$9,077,269",100%,-,-
72,Trail of the Pink Panther,"$9,056,073","$9,056,073",100%,-,-
73,If You Could See What I Hear,"$8,693,512","$8,693,512",100%,-,-
74,Night Crossing,"$8,000,000","$8,000,000",100%,-,-
75,The Pirate Movie,"$7,983,086","$7,983,086",100%,-,-
76,The Beast Within,"$7,742,572","$7,742,572",100%,-,-
77,Tex,"$7,400,000","$7,400,000",100%,-,-
78,The Missionary,"$7,241,180","$7,241,180",100%,-,-
79,Cat People,"$7,000,000","$7,000,000",100%,-,-
80,I Ought to Be in Pictures,"$6,968,359","$6,968,359",100%,-,-
81,The Amateur,"$6,892,098","$6,892,098",100%,-,-
82,Six Weeks,"$6,668,025","$6,668,025",100%,-,-
83,Forced Vengeance,"$6,660,333","$6,660,333",100%,-,-
84,The Last Unicorn,"$6,455,330","$6,455,330",100%,-,-
85,The Soldier,"$6,328,816","$6,328,816",100%,-,-
86,The Border,"$6,118,683","$6,118,683",100%,-,-
87,Evil Under the Sun,"$6,113,565","$6,110,000",99.9%,"$3,565",<0.1%
88,Partners,"$6,062,898","$6,062,898",100%,-,-
89,Still of the Night,"$5,979,947","$5,979,947",100%,-,-
90,The Last American Virgin,"$5,829,781","$5,829,781",100%,-,-
91,Megaforce,"$5,675,599","$5,675,599",100%,-,-
92,Personal Best,"$5,672,311","$5,672,311",100%,-,-
93,Paradise,"$5,588,800","$5,588,800",100%,-,-
94,Cannery Row,"$5,301,539","$5,301,539",100%,-,-
95,Venom,"$5,229,643","$5,229,643",100%,-,-
96,Inchon,"$5,200,986","$5,200,986",100%,-,-
97,Heidi's Song,"$5,124,391","$5,124,391",100%,-,-
98,Tempest,"$5,005,245","$5,005,245",100%,-,-
99,Summer Lovers,"$4,968,000","$4,968,000",100%,-,-
100,Honkytonk Man,"$4,484,991","$4,484,991",100%,-,-
101,Jekyll and Hyde... Together Again,"$3,792,188","$3,792,188",100%,-,-
102,Wrong Is Right,"$3,583,513","$3,583,513",100%,-,-
103,Fighting Back,"$3,355,948","$3,355,948",100%,-,-
104,Penitentiary II,"$3,178,542","$3,178,542",100%,-,-
105,The Challenge,"$2,977,706","$2,977,706",100%,-,-
106,Homework,"$2,914,328","$2,914,328",100%,-,-
107,Jinxed!,"$2,869,638","$2,869,638",100%,-,-
108,It Came from Hollywood,"$2,573,342","$2,573,342",100%,-,-
109,A Stranger Is Watching,"$2,519,559","$2,519,559",100%,-,-
110,A Little Sex,"$2,370,376","$2,370,376",100%,-,-
111,"Yes, Giorgio","$2,279,543","$2,279,543",100%,-,-
112,Barbarosa,"$1,736,123","$1,736,123",100%,-,-
113,"I, the Jury","$1,515,578","$1,515,578",100%,-,-
114,Endangered Species,"$1,474,249","$1,474,249",100%,-,-
115,The Sender,"$1,054,328","$1,054,328",100%,-,-
116,Lookin' to Get Out,"$946,461","$946,461",100%,-,-
117,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","$840,958","$840,958",100%,-,-
118,The House Where Evil Dwells,"$667,863","$667,863",100%,-,-
119,One from the Heart,"$636,796","$636,796",100%,-,-
120,The Weavers: Wasn't That a Time,"$524,203","$524,203",100%,-,-
121,Monty Python Live at the Hollywood Bowl,"$327,958","$327,958",100%,-,-
122,I'm Dancing as Fast as I Can,"$291,390","$291,390",100%,-,-
123,Split Image,"$263,635","$263,635",100%,-,-
124,Five Days One Summer,"$199,078","$199,078",100%,-,-
125,The Escape Artist,"$143,369","$143,369",100%,-,-
126,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"$78,350","$78,350",100%,-,-
127,Movie Madness,"$63,405","$63,405",100%,-,-
