Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Star Wars: Episode V - The Empire Strikes Back,"$400,083,259","$209,398,025",52.3%,"$190,685,234",47.7%
2,The Blues Brothers,"$115,229,890","$57,229,890",49.7%,"$58,000,000",50.3%
3,9 to 5,"$103,290,500","$103,290,500",100%,-,-
4,Stir Crazy,"$101,300,000","$101,300,000",100%,-,-
5,Airplane!,"$83,453,539","$83,453,539",100%,-,-
6,Any Which Way You Can,"$70,687,344","$70,687,344",100%,-,-
7,Private Benjamin,"$69,847,348","$69,847,348",100%,-,-
8,Coal Miner's Daughter,"$67,182,787","$67,182,787",100%,-,-
9,Smokey and the Bandit II,"$66,132,626","$66,132,626",100%,-,-
10,The Blue Lagoon,"$58,853,106","$58,853,106",100%,-,-
11,Ordinary People,"$54,766,923","$54,766,923",100%,-,-
12,Popeye,"$49,823,037","$49,823,037",100%,-,-
13,Urban Cowboy,"$46,918,287","$46,918,287",100%,-,-
14,The Shining,"$44,035,750","$44,017,374",100%,"$18,376",<0.1%
15,Seems Like Old Times,"$43,995,918","$43,995,918",100%,-,-
16,Cheech and Chong's Next Movie,"$41,675,194","$41,675,194",100%,-,-
17,Caddyshack,"$39,846,344","$39,846,344",100%,-,-
18,Friday the 13th,"$39,754,601","$39,754,601",100%,-,-
19,Brubaker,"$37,121,708","$37,121,708",100%,-,-
20,Little Darlings,"$34,326,249","$34,326,249",100%,-,-
21,Dressed to Kill,"$31,899,000","$31,899,000",100%,-,-
22,The Jazz Singer,"$27,118,000","$27,118,000",100%,-,-
23,Flash Gordon,"$27,107,960","$27,107,960",100%,-,-
24,Lady and the Tramp 1980 Re-release,"$26,114,207","$26,114,207",100%,-,-
25,The Elephant Man,"$26,020,641","$26,010,864",100%,"$9,777",<0.1%
26,Bronco Billy,"$24,265,659","$24,265,659",100%,-,-
27,Raging Bull,"$23,334,953","$23,334,953",100%,-,-
28,Xanadu,"$22,762,571","$22,762,571",100%,-,-
29,American Gigolo,"$22,743,674","$22,743,674",100%,-,-
30,My Bodyguard,"$22,482,952","$22,482,952",100%,-,-
31,The Fog,"$21,378,361","$21,378,361",100%,-,-
32,Fame,"$21,202,829","$21,202,829",100%,-,-
33,Tess,"$20,093,330","$20,093,330",100%,-,-
34,Altered States,"$19,853,892","$19,853,892",100%,-,-
35,Song of the South,"$19,800,000","$19,800,000",100%,-,-
36,Cruising,"$19,784,223","$19,784,223",100%,-,-
37,The Octagon,"$18,971,000","$18,971,000",100%,-,-
38,The Aristocats,"$18,000,000","$18,000,000",100%,-,-
39,Honeysuckle Rose,"$17,815,212","$17,815,212",100%,-,-
40,Herbie Goes Bananas,"$17,000,000","$17,000,000",100%,-,-
41,Rough Cut,"$16,656,125","$16,656,125",100%,-,-
42,The Final Countdown,"$16,647,800","$16,647,800",100%,-,-
43,The Hunter,"$16,274,150","$16,274,150",100%,-,-
44,Hero at Large,"$15,934,737","$15,934,737",100%,-,-
45,The Long Riders,"$15,795,189","$15,795,189",100%,-,-
46,The Island,"$15,716,828","$15,716,828",100%,-,-
47,Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175","$15,693,175",100%,-,-
48,First Family,"$15,198,912","$15,198,912",100%,-,-
49,Prom Night,"$14,796,236","$14,796,236",100%,-,-
50,The Nude Bomb,"$14,662,035","$14,662,035",100%,-,-
51,"Oh, God! Book II","$14,504,277","$14,504,277",100%,-,-
52,The Competition,"$14,287,755","$14,287,755",100%,-,-
53,Wholly Moses!,"$14,155,617","$14,155,617",100%,-,-
54,Mary Poppins 1980 Re-release,"$14,000,000","$14,000,000",100%,-,-
55,The Last Married Couple in America,"$12,835,544","$12,835,544",100%,-,-
56,Used Cars,"$11,715,321","$11,715,321",100%,-,-
57,The Last Flight of Noah's Ark,"$11,000,000","$11,000,000",100%,-,-
58,The Mirror Crack'd,"$11,000,000","$11,000,000",100%,-,-
59,The Fiendish Plot of Dr. Fu Manchu,"$10,697,276","$10,697,276",100%,-,-
60,Stardust Memories,"$10,389,003","$10,389,003",100%,-,-
61,The Hollywood Knights,"$10,000,000","$10,000,000",100%,-,-
62,Serial,"$9,870,727","$9,870,727",100%,-,-
63,Somewhere in Time,"$9,709,597","$9,709,597",100%,-,-
64,Saturn 3,"$9,000,000","$9,000,000",100%,-,-
65,Tribute,"$9,000,000","$9,000,000",100%,-,-
66,The Formula,"$8,894,289","$8,894,289",100%,-,-
67,Mad Max,"$8,750,000","$8,750,000",100%,-,-
68,Battle Creek Brawl,"$8,527,743","$8,527,743",100%,-,-
69,The Awakening,"$8,415,112","$8,415,112",100%,-,-
70,Fatso,"$7,653,061","$7,653,061",100%,-,-
71,How to Become a Detective,"$7,500,000","$7,500,000",100%,-,-
